Indicator
#1-2-1
#1-2-2
#10-1-1
#10-2-1
#11-6-1
#13-2-2
#3-4-1
#3-7-2
#3-c-1
#4-3-1
#4-4-1
#4-5-1
#5-4-1
#5-5-2
#5-a-1a
#5-a-1b
#5-b-1
#8-2-1
#8-5-1
#8-5-2
#9-2-1
#9-2-2
#9-4-1
