Indicator,Disaggregation combinations using this value
#1-2-1,2
#1-2-2,2
#10-1-1,2
#10-2-1,2
#11-6-1,2
#13-2-2,2
#3-4-1,2
#3-7-2,2
#3-c-1,2
#4-3-1,2
#4-4-1,2
#4-5-1,2
#5-4-1,2
#5-5-2,2
#5-a-1a,2
#5-a-1b,2
#5-b-1,2
#8-2-1,2
#8-5-1,2
#8-5-2,2
#9-2-1,2
#9-2-2,2
#9-4-1,2
