Value,ca,Disaggregation combinations using this value,Number of indicators
Entre 10 y 14 años,Entre 10 y 14 años,2,1
Entre 15 y 19 años,Entre 15 y 19 años,2,1
Entre 15 y 24 años,Entre 15 y 24 años,2,1
Entre 15 y 64 años,Entre 15 y 64 años,2,1
Entre 16 y 24 años,Entre 16 y 24 años,2,1
Entre 16 y 74 años,Entre 16 y 74 años,2,1
Entre 25 y 64 años,Entre 25 y 64 años,2,1
Entre 25 y 74 años,Entre 25 y 74 años,2,1
