Year,Units,Territorio,Value
2010,Índice,ES70,122.83
2011,Índice,ES70,114.75
2012,Índice,ES70,114.79
2013,Índice,ES70,116.56
2014,Índice,ES70,108.81
2015,Índice,ES70,116.7
2016,Índice,ES70,119.34
2017,Índice,ES70,112.07
2018,Índice,ES70,115.71
2010,Índice,ES,111.0
2011,Índice,ES,111.0
2012,Índice,ES,110.0
2013,Índice,ES,109.0
2014,Índice,ES,108.0
2015,Índice,ES,108.0
2016,Índice,ES,108.0
2017,Índice,ES,107.0
2018,Índice,ES,110.0
2019,Índice,ES,112.0
2019,Índice,ES70,128.4
