Year,Units,Territorio,Value
2010,Kg de CO2 equivalente por euro de PIB,ES70,0.33
2011,Kg de CO2 equivalente por euro de PIB,ES70,0.31
2012,Kg de CO2 equivalente por euro de PIB,ES70,0.31
2013,Kg de CO2 equivalente por euro de PIB,ES70,0.29
2014,Kg de CO2 equivalente por euro de PIB,ES70,0.28
2015,Kg de CO2 equivalente por euro de PIB,ES70,0.28
2016,Kg de CO2 equivalente por euro de PIB,ES70,0.28
2017,Kg de CO2 equivalente por euro de PIB,ES70,0.29
2018,Kg de CO2 equivalente por euro de PIB,ES70,0.28
2010,Kg de CO2 equivalente por euro de PIB,ES,0.27
2011,Kg de CO2 equivalente por euro de PIB,ES,0.28
2012,Kg de CO2 equivalente por euro de PIB,ES,0.28
2013,Kg de CO2 equivalente por euro de PIB,ES,0.26
2014,Kg de CO2 equivalente por euro de PIB,ES,0.26
2015,Kg de CO2 equivalente por euro de PIB,ES,0.27
2016,Kg de CO2 equivalente por euro de PIB,ES,0.25
2017,Kg de CO2 equivalente por euro de PIB,ES,0.25
2018,Kg de CO2 equivalente por euro de PIB,ES,0.24
