Year,Units,Territorio,Value
2010,Porcentaje,ES70,92.5
2011,Porcentaje,ES70,91.3
2012,Porcentaje,ES70,94.0
2013,Porcentaje,ES70,93.3
2014,Porcentaje,ES70,94.7
2015,Porcentaje,ES70,92.9
2017,Porcentaje,ES70,93.7
2019,Porcentaje,ES70,96.2
2012,Porcentaje,ES,94.38
2013,Porcentaje,ES,94.18
2014,Porcentaje,ES,95.01
2015,Porcentaje,ES,95.45
2017,Porcentaje,ES,96.16
2019,Porcentaje,ES,96.92
