Year,Units,Territorio,Value
2010,Kg de CO2 equivalente por euro de PIB,ES70,0.45
2011,Kg de CO2 equivalente por euro de PIB,ES70,0.4
2012,Kg de CO2 equivalente por euro de PIB,ES70,0.47
2013,Kg de CO2 equivalente por euro de PIB,ES70,0.31
2014,Kg de CO2 equivalente por euro de PIB,ES70,0.18
2015,Kg de CO2 equivalente por euro de PIB,ES70,0.12
2016,Kg de CO2 equivalente por euro de PIB,ES70,0.14
2017,Kg de CO2 equivalente por euro de PIB,ES70,0.1
2018,Kg de CO2 equivalente por euro de PIB,ES70,0.1
2010,Kg de CO2 equivalente por euro de PIB,ES,0.67
2011,Kg de CO2 equivalente por euro de PIB,ES,0.65
2012,Kg de CO2 equivalente por euro de PIB,ES,0.67
2013,Kg de CO2 equivalente por euro de PIB,ES,0.64
2014,Kg de CO2 equivalente por euro de PIB,ES,0.62
2015,Kg de CO2 equivalente por euro de PIB,ES,0.61
2016,Kg de CO2 equivalente por euro de PIB,ES,0.6
2017,Kg de CO2 equivalente por euro de PIB,ES,0.58
2018,Kg de CO2 equivalente por euro de PIB,ES,0.58
