Year,Units,Territorio,Value
2010,Índice,ES70,90.32
2011,Índice,ES70,86.28
2012,Índice,ES70,90.51
2013,Índice,ES70,96.3
2014,Índice,ES70,106.7
2015,Índice,ES70,104.73
2016,Índice,ES70,100.03
2017,Índice,ES70,105.04
2018,Índice,ES70,84.33
2010,Índice,ES,88.0
2011,Índice,ES,87.0
2012,Índice,ES,86.0
2013,Índice,ES,89.0
2014,Índice,ES,89.0
2015,Índice,ES,88.0
2016,Índice,ES,87.0
2017,Índice,ES,86.0
2018,Índice,ES,86.0
2019,Índice,ES,86.0
2019,Índice,ES70,94.27
