Year,Units,general.territorio,Value
2014,UNIDAD_MEDIDA.HA,ES,4400309.38
2015,UNIDAD_MEDIDA.HA,ES,4611684.49
2016,UNIDAD_MEDIDA.HA,ES,4804161.96
2017,UNIDAD_MEDIDA.HA,ES,5124970.35
2018,UNIDAD_MEDIDA.HA,ES,5167697.4
2019,UNIDAD_MEDIDA.HA,ES,5527015.72
2020,UNIDAD_MEDIDA.HA,ES,5713414.12
2021,UNIDAD_MEDIDA.HA,ES,6108383.93
2022,UNIDAD_MEDIDA.HA,ES,6701415.00
2014,UNIDAD_MEDIDA.HA,ES70,0.00
2015,UNIDAD_MEDIDA.HA,ES70,0.00
2016,UNIDAD_MEDIDA.HA,ES70,0.00
2017,UNIDAD_MEDIDA.HA,ES70,0.00
2018,UNIDAD_MEDIDA.HA,ES70,0.00
2019,UNIDAD_MEDIDA.HA,ES70,0.00
2020,UNIDAD_MEDIDA.HA,ES70,4888.85
2021,UNIDAD_MEDIDA.HA,ES70,4888.85
