Year,Units,general.territorio,Serie,DIM_DES_SEXO,DIM_DES_EDAD,DIM_DES_TIPO_COMPETENCIA,Value
2022,UNIDAD_MEDIDA.PT,ES70,SERIE.SERIE_A,SEXO._T,EDAD.Y15,TIPO_COMPETENCIA.SKILL_READ,72.46
2022,UNIDAD_MEDIDA.PT,ES70,SERIE.SERIE_B,SEXO.M,EDAD.Y15,TIPO_COMPETENCIA.SKILL_READ,67.18
2022,UNIDAD_MEDIDA.PT,ES70,SERIE.SERIE_C,SEXO.F,EDAD.Y15,TIPO_COMPETENCIA.SKILL_READ,77.78
2022,UNIDAD_MEDIDA.PT,ES70,SERIE.SERIE_D,SEXO.F,EDAD.Y15,TIPO_COMPETENCIA.SKILL_MATH,62.84
2022,UNIDAD_MEDIDA.PT,ES70,SERIE.SERIE_E,SEXO.F,EDAD.Y15,TIPO_COMPETENCIA.SKILL_MATH,64.44
2022,UNIDAD_MEDIDA.PT,ES70,SERIE.SERIE_F,SEXO.F,EDAD.Y15,TIPO_COMPETENCIA.SKILL_MATH,61.23
2022,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_A,SEXO._T,EDAD.Y15,TIPO_COMPETENCIA.SKILL_READ,75.57
2022,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_B,SEXO.M,EDAD.Y15,TIPO_COMPETENCIA.SKILL_READ,71.04
2022,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_C,SEXO.F,EDAD.Y15,TIPO_COMPETENCIA.SKILL_READ,80.20
2022,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_D,SEXO.F,EDAD.Y15,TIPO_COMPETENCIA.SKILL_MATH,72.69
2022,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_E,SEXO.F,EDAD.Y15,TIPO_COMPETENCIA.SKILL_MATH,73.46
2022,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_F,SEXO.F,EDAD.Y15,TIPO_COMPETENCIA.SKILL_MATH,71.92
