Year,Units,general.territorio,Value
2010,UNIDAD_MEDIDA.PT,ES,0.05
2011,UNIDAD_MEDIDA.PT,ES,0.03
2012,UNIDAD_MEDIDA.PT,ES,0.02
2013,UNIDAD_MEDIDA.PT,ES,0.02
2014,UNIDAD_MEDIDA.PT,ES,0.02
2015,UNIDAD_MEDIDA.PT,ES,0.02
2016,UNIDAD_MEDIDA.PT,ES,0.02
2017,UNIDAD_MEDIDA.PT,ES,0.02
2018,UNIDAD_MEDIDA.PT,ES,0.02
2019,UNIDAD_MEDIDA.PT,ES,0.03
2010,UNIDAD_MEDIDA.PT,ES70,0.04
2011,UNIDAD_MEDIDA.PT,ES70,0.01
2012,UNIDAD_MEDIDA.PT,ES70,0.01
2013,UNIDAD_MEDIDA.PT,ES70,0
2014,UNIDAD_MEDIDA.PT,ES70,0
2015,UNIDAD_MEDIDA.PT,ES70,0
2016,UNIDAD_MEDIDA.PT,ES70,0
2017,UNIDAD_MEDIDA.PT,ES70,0
2018,UNIDAD_MEDIDA.PT,ES70,0
2019,UNIDAD_MEDIDA.PT,ES70,0.01
