Year,Units,general.territorio,Value
2016,UNIDAD_MEDIDA.PT,ES,14.04
2017,UNIDAD_MEDIDA.PT,ES,17.69
2018,UNIDAD_MEDIDA.PT,ES,16.70
2019,UNIDAD_MEDIDA.PT,ES,18.50
2020,UNIDAD_MEDIDA.PT,ES,16.80
2021,UNIDAD_MEDIDA.PT,ES,16.15
2022,UNIDAD_MEDIDA.PT,ES,19.58
2016,UNIDAD_MEDIDA.PT,ES70,1.35
2017,UNIDAD_MEDIDA.PT,ES70,1.57
2018,UNIDAD_MEDIDA.PT,ES70,1.44
2019,UNIDAD_MEDIDA.PT,ES70,1.81
2020,UNIDAD_MEDIDA.PT,ES70,1.73
2021,UNIDAD_MEDIDA.PT,ES70,2.03
2022,UNIDAD_MEDIDA.PT,ES70,1.87
2023,UNIDAD_MEDIDA.PT,ES70,2.95
