Year,Units,general.territorio,Value
2010,UNIDAD_MEDIDA.PT,ES,63.53
2011,UNIDAD_MEDIDA.PT,ES,66.47
2012,UNIDAD_MEDIDA.PT,ES,69.48
2013,UNIDAD_MEDIDA.PT,ES,71.64
2014,UNIDAD_MEDIDA.PT,ES,76.19
2015,UNIDAD_MEDIDA.PT,ES,78.69
2016,UNIDAD_MEDIDA.PT,ES,80.56
2017,UNIDAD_MEDIDA.PT,ES,84.6
2018,UNIDAD_MEDIDA.PT,ES,86.11
2019,UNIDAD_MEDIDA.PT,ES,90.72
2020,UNIDAD_MEDIDA.PT,ES,93.97
2010,UNIDAD_MEDIDA.PT,ES70,55.86
2011,UNIDAD_MEDIDA.PT,ES70,61.76
2012,UNIDAD_MEDIDA.PT,ES70,67.36
2013,UNIDAD_MEDIDA.PT,ES70,65.99
2014,UNIDAD_MEDIDA.PT,ES70,75.36
2015,UNIDAD_MEDIDA.PT,ES70,75.72
2016,UNIDAD_MEDIDA.PT,ES70,78.69
2017,UNIDAD_MEDIDA.PT,ES70,83.50
2018,UNIDAD_MEDIDA.PT,ES70,84.58
2019,UNIDAD_MEDIDA.PT,ES70,89.73
2020,UNIDAD_MEDIDA.PT,ES70,92.54
