Year,Units,general.territorio,Value
2010,UNIDAD_MEDIDA.G_PER_EUR,ES,0.29
2011,UNIDAD_MEDIDA.G_PER_EUR,ES,0.34
2012,UNIDAD_MEDIDA.G_PER_EUR,ES,0.32
2013,UNIDAD_MEDIDA.G_PER_EUR,ES,0.23
2014,UNIDAD_MEDIDA.G_PER_EUR,ES,0.22
2015,UNIDAD_MEDIDA.G_PER_EUR,ES,0.30
2016,UNIDAD_MEDIDA.G_PER_EUR,ES,0.23
2017,UNIDAD_MEDIDA.G_PER_EUR,ES,0.25
2018,UNIDAD_MEDIDA.G_PER_EUR,ES,0.26
2019,UNIDAD_MEDIDA.G_PER_EUR,ES,0.30
2020,UNIDAD_MEDIDA.G_PER_EUR,ES,0.32
2021,UNIDAD_MEDIDA.G_PER_EUR,ES,0.29
2010,UNIDAD_MEDIDA.G_PER_EUR,ES70,0.35
2011,UNIDAD_MEDIDA.G_PER_EUR,ES70,0.58
2012,UNIDAD_MEDIDA.G_PER_EUR,ES70,0.59
2013,UNIDAD_MEDIDA.G_PER_EUR,ES70,0.41
2014,UNIDAD_MEDIDA.G_PER_EUR,ES70,0.40
2015,UNIDAD_MEDIDA.G_PER_EUR,ES70,0.72
2016,UNIDAD_MEDIDA.G_PER_EUR,ES70,0.44
2017,UNIDAD_MEDIDA.G_PER_EUR,ES70,0.48
2018,UNIDAD_MEDIDA.G_PER_EUR,ES70,0.52
2019,UNIDAD_MEDIDA.G_PER_EUR,ES70,0.67
2020,UNIDAD_MEDIDA.G_PER_EUR,ES70,0.73
2021,UNIDAD_MEDIDA.G_PER_EUR,ES70,0.62
