Year,Units,general.territorio,Value
2010,UNIDAD_MEDIDA.PT,ES,99.94
2011,UNIDAD_MEDIDA.PT,ES,99.94
2012,UNIDAD_MEDIDA.PT,ES,99.94
2013,UNIDAD_MEDIDA.PT,ES,99.93
2014,UNIDAD_MEDIDA.PT,ES,99.93
2015,UNIDAD_MEDIDA.PT,ES,99.92
2016,UNIDAD_MEDIDA.PT,ES,99.93
2017,UNIDAD_MEDIDA.PT,ES,99.93
2018,UNIDAD_MEDIDA.PT,ES,99.92
2019,UNIDAD_MEDIDA.PT,ES,99.92
2010,UNIDAD_MEDIDA.PT,ES70,99.91
2011,UNIDAD_MEDIDA.PT,ES70,99.92
2012,UNIDAD_MEDIDA.PT,ES70,99.91
2013,UNIDAD_MEDIDA.PT,ES70,99.87
2014,UNIDAD_MEDIDA.PT,ES70,99.90
2015,UNIDAD_MEDIDA.PT,ES70,99.91
2016,UNIDAD_MEDIDA.PT,ES70,99.85
2017,UNIDAD_MEDIDA.PT,ES70,99.90
2018,UNIDAD_MEDIDA.PT,ES70,99.81
2019,UNIDAD_MEDIDA.PT,ES70,99.86
