Year,Units,general.territorio,Serie,DIM_DES.INSTITUCION,Value
2020,UNIDAD_MEDIDA.IX,ES,SERIE.SERIE_D,INSTITUCION._L_INSTITUTION_04,0.26
2021,UNIDAD_MEDIDA.IX,ES,SERIE.SERIE_D,INSTITUCION._L_INSTITUTION_04,0.26
2010,UNIDAD_MEDIDA.IX,ES,SERIE.SERIE_E,INSTITUCION._L_INSTITUTION_05,1.28
2011,UNIDAD_MEDIDA.IX,ES,SERIE.SERIE_E,INSTITUCION._L_INSTITUTION_05,1.3
2012,UNIDAD_MEDIDA.IX,ES,SERIE.SERIE_E,INSTITUCION._L_INSTITUTION_05,1.29
2013,UNIDAD_MEDIDA.IX,ES,SERIE.SERIE_E,INSTITUCION._L_INSTITUTION_05,1.3
2014,UNIDAD_MEDIDA.IX,ES,SERIE.SERIE_E,INSTITUCION._L_INSTITUTION_05,1.29
2015,UNIDAD_MEDIDA.IX,ES,SERIE.SERIE_E,INSTITUCION._L_INSTITUTION_05,1.3
2016,UNIDAD_MEDIDA.IX,ES,SERIE.SERIE_E,INSTITUCION._L_INSTITUTION_05,1.3
2017,UNIDAD_MEDIDA.IX,ES,SERIE.SERIE_E,INSTITUCION._L_INSTITUTION_05,1.3
2018,UNIDAD_MEDIDA.IX,ES,SERIE.SERIE_E,INSTITUCION._L_INSTITUTION_05,1.3
2019,UNIDAD_MEDIDA.IX,ES,SERIE.SERIE_E,INSTITUCION._L_INSTITUTION_05,1.32
2020,UNIDAD_MEDIDA.IX,ES,SERIE.SERIE_E,INSTITUCION._L_INSTITUTION_05,1.33
2021,UNIDAD_MEDIDA.IX,ES,SERIE.SERIE_E,INSTITUCION._L_INSTITUTION_05,1.34
2010,UNIDAD_MEDIDA.IX,ES,SERIE.SERIE_F,INSTITUCION._L_INSTITUTION_06,1.34
2011,UNIDAD_MEDIDA.IX,ES,SERIE.SERIE_F,INSTITUCION._L_INSTITUTION_06,1.34
2012,UNIDAD_MEDIDA.IX,ES,SERIE.SERIE_F,INSTITUCION._L_INSTITUTION_06,1.36
2013,UNIDAD_MEDIDA.IX,ES,SERIE.SERIE_F,INSTITUCION._L_INSTITUTION_06,1.36
2014,UNIDAD_MEDIDA.IX,ES,SERIE.SERIE_F,INSTITUCION._L_INSTITUTION_06,1.36
2015,UNIDAD_MEDIDA.IX,ES,SERIE.SERIE_F,INSTITUCION._L_INSTITUTION_06,1.37
2016,UNIDAD_MEDIDA.IX,ES,SERIE.SERIE_F,INSTITUCION._L_INSTITUTION_06,1.37
2017,UNIDAD_MEDIDA.IX,ES,SERIE.SERIE_F,INSTITUCION._L_INSTITUTION_06,1.39
2018,UNIDAD_MEDIDA.IX,ES,SERIE.SERIE_F,INSTITUCION._L_INSTITUTION_06,1.39
2019,UNIDAD_MEDIDA.IX,ES,SERIE.SERIE_F,INSTITUCION._L_INSTITUTION_06,1.4
2020,UNIDAD_MEDIDA.IX,ES,SERIE.SERIE_F,INSTITUCION._L_INSTITUTION_06,1.4
2021,UNIDAD_MEDIDA.IX,ES,SERIE.SERIE_F,INSTITUCION._L_INSTITUTION_06,1.41
2010,UNIDAD_MEDIDA.IX,ES,SERIE.SERIE_G,INSTITUCION._L_INSTITUTION_07,0.35
2011,UNIDAD_MEDIDA.IX,ES,SERIE.SERIE_G,INSTITUCION._L_INSTITUTION_07,0.36
2012,UNIDAD_MEDIDA.IX,ES,SERIE.SERIE_G,INSTITUCION._L_INSTITUTION_07,0.36
2013,UNIDAD_MEDIDA.IX,ES,SERIE.SERIE_G,INSTITUCION._L_INSTITUTION_07,0.36
2014,UNIDAD_MEDIDA.IX,ES,SERIE.SERIE_G,INSTITUCION._L_INSTITUTION_07,0.36
2015,UNIDAD_MEDIDA.IX,ES,SERIE.SERIE_G,INSTITUCION._L_INSTITUTION_07,0.36
2016,UNIDAD_MEDIDA.IX,ES,SERIE.SERIE_G,INSTITUCION._L_INSTITUTION_07,0.36
2017,UNIDAD_MEDIDA.IX,ES,SERIE.SERIE_G,INSTITUCION._L_INSTITUTION_07,0.36
2018,UNIDAD_MEDIDA.IX,ES,SERIE.SERIE_G,INSTITUCION._L_INSTITUTION_07,0.36
2019,UNIDAD_MEDIDA.IX,ES,SERIE.SERIE_G,INSTITUCION._L_INSTITUTION_07,0.36
2020,UNIDAD_MEDIDA.IX,ES,SERIE.SERIE_G,INSTITUCION._L_INSTITUTION_07,0.38
2021,UNIDAD_MEDIDA.IX,ES,SERIE.SERIE_G,INSTITUCION._L_INSTITUTION_07,0.38
2010,UNIDAD_MEDIDA.IX,ES,SERIE.SERIE_H,INSTITUCION._L_INSTITUTION_08,1.45
2011,UNIDAD_MEDIDA.IX,ES,SERIE.SERIE_H,INSTITUCION._L_INSTITUTION_08,1.46
2012,UNIDAD_MEDIDA.IX,ES,SERIE.SERIE_H,INSTITUCION._L_INSTITUTION_08,1.45
2013,UNIDAD_MEDIDA.IX,ES,SERIE.SERIE_H,INSTITUCION._L_INSTITUTION_08,1.44
2014,UNIDAD_MEDIDA.IX,ES,SERIE.SERIE_H,INSTITUCION._L_INSTITUTION_08,1.44
2015,UNIDAD_MEDIDA.IX,ES,SERIE.SERIE_H,INSTITUCION._L_INSTITUTION_08,1.44
2016,UNIDAD_MEDIDA.IX,ES,SERIE.SERIE_H,INSTITUCION._L_INSTITUTION_08,1.45
2017,UNIDAD_MEDIDA.IX,ES,SERIE.SERIE_H,INSTITUCION._L_INSTITUTION_08,1.45
2018,UNIDAD_MEDIDA.IX,ES,SERIE.SERIE_H,INSTITUCION._L_INSTITUTION_08,1.45
2019,UNIDAD_MEDIDA.IX,ES,SERIE.SERIE_H,INSTITUCION._L_INSTITUTION_08,1.46
2020,UNIDAD_MEDIDA.IX,ES,SERIE.SERIE_H,INSTITUCION._L_INSTITUTION_08,1.46
2021,UNIDAD_MEDIDA.IX,ES,SERIE.SERIE_H,INSTITUCION._L_INSTITUTION_08,1.45
2010,UNIDAD_MEDIDA.IX,ES,SERIE.SERIE_I,INSTITUCION._L_INSTITUTION_09,1.37
2011,UNIDAD_MEDIDA.IX,ES,SERIE.SERIE_I,INSTITUCION._L_INSTITUTION_09,1.38
2012,UNIDAD_MEDIDA.IX,ES,SERIE.SERIE_I,INSTITUCION._L_INSTITUTION_09,1.39
2013,UNIDAD_MEDIDA.IX,ES,SERIE.SERIE_I,INSTITUCION._L_INSTITUTION_09,1.4
2014,UNIDAD_MEDIDA.IX,ES,SERIE.SERIE_I,INSTITUCION._L_INSTITUTION_09,1.4
2015,UNIDAD_MEDIDA.IX,ES,SERIE.SERIE_I,INSTITUCION._L_INSTITUTION_09,1.41
2016,UNIDAD_MEDIDA.IX,ES,SERIE.SERIE_I,INSTITUCION._L_INSTITUTION_09,1.41
2017,UNIDAD_MEDIDA.IX,ES,SERIE.SERIE_I,INSTITUCION._L_INSTITUTION_09,1.41
2018,UNIDAD_MEDIDA.IX,ES,SERIE.SERIE_I,INSTITUCION._L_INSTITUTION_09,1.42
2019,UNIDAD_MEDIDA.IX,ES,SERIE.SERIE_I,INSTITUCION._L_INSTITUTION_09,1.42
2020,UNIDAD_MEDIDA.IX,ES,SERIE.SERIE_I,INSTITUCION._L_INSTITUTION_09,1.42
2021,UNIDAD_MEDIDA.IX,ES,SERIE.SERIE_I,INSTITUCION._L_INSTITUTION_09,1.43
2010,UNIDAD_MEDIDA.IX,ES,SERIE.SERIE_J,INSTITUCION._L_INSTITUTION_10,1.43
2011,UNIDAD_MEDIDA.IX,ES,SERIE.SERIE_J,INSTITUCION._L_INSTITUTION_10,1.43
2012,UNIDAD_MEDIDA.IX,ES,SERIE.SERIE_J,INSTITUCION._L_INSTITUTION_10,1.46
2013,UNIDAD_MEDIDA.IX,ES,SERIE.SERIE_J,INSTITUCION._L_INSTITUTION_10,1.46
2014,UNIDAD_MEDIDA.IX,ES,SERIE.SERIE_J,INSTITUCION._L_INSTITUTION_10,1.47
2015,UNIDAD_MEDIDA.IX,ES,SERIE.SERIE_J,INSTITUCION._L_INSTITUTION_10,1.48
2016,UNIDAD_MEDIDA.IX,ES,SERIE.SERIE_J,INSTITUCION._L_INSTITUTION_10,1.48
2017,UNIDAD_MEDIDA.IX,ES,SERIE.SERIE_J,INSTITUCION._L_INSTITUTION_10,1.49
2018,UNIDAD_MEDIDA.IX,ES,SERIE.SERIE_J,INSTITUCION._L_INSTITUTION_10,1.49
2019,UNIDAD_MEDIDA.IX,ES,SERIE.SERIE_J,INSTITUCION._L_INSTITUTION_10,1.5
2020,UNIDAD_MEDIDA.IX,ES,SERIE.SERIE_J,INSTITUCION._L_INSTITUTION_10,1.5
2021,UNIDAD_MEDIDA.IX,ES,SERIE.SERIE_J,INSTITUCION._L_INSTITUTION_10,1.51
2010,UNIDAD_MEDIDA.IX,ES,SERIE.SERIE_K,INSTITUCION._L_INSTITUTION_11,0.95
2011,UNIDAD_MEDIDA.IX,ES,SERIE.SERIE_K,INSTITUCION._L_INSTITUTION_11,0.95
2012,UNIDAD_MEDIDA.IX,ES,SERIE.SERIE_K,INSTITUCION._L_INSTITUTION_11,0.95
2013,UNIDAD_MEDIDA.IX,ES,SERIE.SERIE_K,INSTITUCION._L_INSTITUTION_11,0.93
2014,UNIDAD_MEDIDA.IX,ES,SERIE.SERIE_K,INSTITUCION._L_INSTITUTION_11,0.93
2015,UNIDAD_MEDIDA.IX,ES,SERIE.SERIE_K,INSTITUCION._L_INSTITUTION_11,0.92
2016,UNIDAD_MEDIDA.IX,ES,SERIE.SERIE_K,INSTITUCION._L_INSTITUTION_11,0.95
2017,UNIDAD_MEDIDA.IX,ES,SERIE.SERIE_K,INSTITUCION._L_INSTITUTION_11,0.97
2018,UNIDAD_MEDIDA.IX,ES,SERIE.SERIE_K,INSTITUCION._L_INSTITUTION_11,0.98
2019,UNIDAD_MEDIDA.IX,ES,SERIE.SERIE_K,INSTITUCION._L_INSTITUTION_11,0.99
2020,UNIDAD_MEDIDA.IX,ES,SERIE.SERIE_K,INSTITUCION._L_INSTITUTION_11,1.01
2021,UNIDAD_MEDIDA.IX,ES,SERIE.SERIE_K,INSTITUCION._L_INSTITUTION_11,1.02
2020,UNIDAD_MEDIDA.IX,ES,SERIE.SERIE_L,INSTITUCION._L_INSTITUTION_12,0.99
2021,UNIDAD_MEDIDA.IX,ES,SERIE.SERIE_L,INSTITUCION._L_INSTITUTION_12,1.01
2020,UNIDAD_MEDIDA.IX,ES,SERIE.SERIE_M,INSTITUCION._L_INSTITUTION_13,1.15
2021,UNIDAD_MEDIDA.IX,ES,SERIE.SERIE_M,INSTITUCION._L_INSTITUTION_13,1.15
2010,UNIDAD_MEDIDA.IX,ES,SERIE.SERIE_N,INSTITUCION._L_INSTITUTION_14,0.86
2011,UNIDAD_MEDIDA.IX,ES,SERIE.SERIE_N,INSTITUCION._L_INSTITUTION_14,0.87
2012,UNIDAD_MEDIDA.IX,ES,SERIE.SERIE_N,INSTITUCION._L_INSTITUTION_14,0.92
2013,UNIDAD_MEDIDA.IX,ES,SERIE.SERIE_N,INSTITUCION._L_INSTITUTION_14,0.92
2014,UNIDAD_MEDIDA.IX,ES,SERIE.SERIE_N,INSTITUCION._L_INSTITUTION_14,0.93
2015,UNIDAD_MEDIDA.IX,ES,SERIE.SERIE_N,INSTITUCION._L_INSTITUTION_14,0.93
2016,UNIDAD_MEDIDA.IX,ES,SERIE.SERIE_N,INSTITUCION._L_INSTITUTION_14,0.94
2017,UNIDAD_MEDIDA.IX,ES,SERIE.SERIE_N,INSTITUCION._L_INSTITUTION_14,0.94
2018,UNIDAD_MEDIDA.IX,ES,SERIE.SERIE_N,INSTITUCION._L_INSTITUTION_14,0.95
2019,UNIDAD_MEDIDA.IX,ES,SERIE.SERIE_N,INSTITUCION._L_INSTITUTION_14,0.95
2020,UNIDAD_MEDIDA.IX,ES,SERIE.SERIE_N,INSTITUCION._L_INSTITUTION_14,0.96
2021,UNIDAD_MEDIDA.IX,ES,SERIE.SERIE_N,INSTITUCION._L_INSTITUTION_14,0.96
2010,UNIDAD_MEDIDA.IX,ES70,SERIE.SERIE_A,INSTITUCION._L_INSTITUTION_01,1.04
