Year,Units,general.territorio,Serie,DIM_DES.INSTITUCION,Value
2021,UNIDAD_MEDIDA.IX,ES70,SERIE.SERIE_G,INSTITUCION._L_INSTITUTION_07,0.16
2010,UNIDAD_MEDIDA.IX,ES70,SERIE.SERIE_H,INSTITUCION._L_INSTITUTION_08,1.47
2011,UNIDAD_MEDIDA.IX,ES70,SERIE.SERIE_H,INSTITUCION._L_INSTITUTION_08,1.44
2012,UNIDAD_MEDIDA.IX,ES70,SERIE.SERIE_H,INSTITUCION._L_INSTITUTION_08,1.42
2013,UNIDAD_MEDIDA.IX,ES70,SERIE.SERIE_H,INSTITUCION._L_INSTITUTION_08,1.41
2014,UNIDAD_MEDIDA.IX,ES70,SERIE.SERIE_H,INSTITUCION._L_INSTITUTION_08,1.43
2015,UNIDAD_MEDIDA.IX,ES70,SERIE.SERIE_H,INSTITUCION._L_INSTITUTION_08,1.42
2016,UNIDAD_MEDIDA.IX,ES70,SERIE.SERIE_H,INSTITUCION._L_INSTITUTION_08,1.45
2017,UNIDAD_MEDIDA.IX,ES70,SERIE.SERIE_H,INSTITUCION._L_INSTITUTION_08,1.41
2018,UNIDAD_MEDIDA.IX,ES70,SERIE.SERIE_H,INSTITUCION._L_INSTITUTION_08,1.41
2019,UNIDAD_MEDIDA.IX,ES70,SERIE.SERIE_H,INSTITUCION._L_INSTITUTION_08,1.38
2020,UNIDAD_MEDIDA.IX,ES70,SERIE.SERIE_H,INSTITUCION._L_INSTITUTION_08,1.37
2021,UNIDAD_MEDIDA.IX,ES70,SERIE.SERIE_H,INSTITUCION._L_INSTITUTION_08,1.36
2010,UNIDAD_MEDIDA.IX,ES70,SERIE.SERIE_I,INSTITUCION._L_INSTITUTION_09,1.37
2011,UNIDAD_MEDIDA.IX,ES70,SERIE.SERIE_I,INSTITUCION._L_INSTITUTION_09,1.4
2012,UNIDAD_MEDIDA.IX,ES70,SERIE.SERIE_I,INSTITUCION._L_INSTITUTION_09,1.4
2013,UNIDAD_MEDIDA.IX,ES70,SERIE.SERIE_I,INSTITUCION._L_INSTITUTION_09,1.41
2014,UNIDAD_MEDIDA.IX,ES70,SERIE.SERIE_I,INSTITUCION._L_INSTITUTION_09,1.41
2015,UNIDAD_MEDIDA.IX,ES70,SERIE.SERIE_I,INSTITUCION._L_INSTITUTION_09,1.41
2016,UNIDAD_MEDIDA.IX,ES70,SERIE.SERIE_I,INSTITUCION._L_INSTITUTION_09,1.41
2017,UNIDAD_MEDIDA.IX,ES70,SERIE.SERIE_I,INSTITUCION._L_INSTITUTION_09,1.42
2018,UNIDAD_MEDIDA.IX,ES70,SERIE.SERIE_I,INSTITUCION._L_INSTITUTION_09,1.43
2019,UNIDAD_MEDIDA.IX,ES70,SERIE.SERIE_I,INSTITUCION._L_INSTITUTION_09,1.43
2020,UNIDAD_MEDIDA.IX,ES70,SERIE.SERIE_I,INSTITUCION._L_INSTITUTION_09,1.43
2021,UNIDAD_MEDIDA.IX,ES70,SERIE.SERIE_I,INSTITUCION._L_INSTITUTION_09,1.43
2010,UNIDAD_MEDIDA.IX,ES70,SERIE.SERIE_J,INSTITUCION._L_INSTITUTION_10,1.41
2011,UNIDAD_MEDIDA.IX,ES70,SERIE.SERIE_J,INSTITUCION._L_INSTITUTION_10,1.4
2012,UNIDAD_MEDIDA.IX,ES70,SERIE.SERIE_J,INSTITUCION._L_INSTITUTION_10,1.41
2013,UNIDAD_MEDIDA.IX,ES70,SERIE.SERIE_J,INSTITUCION._L_INSTITUTION_10,1.4
2014,UNIDAD_MEDIDA.IX,ES70,SERIE.SERIE_J,INSTITUCION._L_INSTITUTION_10,1.42
2015,UNIDAD_MEDIDA.IX,ES70,SERIE.SERIE_J,INSTITUCION._L_INSTITUTION_10,1.41
2016,UNIDAD_MEDIDA.IX,ES70,SERIE.SERIE_J,INSTITUCION._L_INSTITUTION_10,1.41
2017,UNIDAD_MEDIDA.IX,ES70,SERIE.SERIE_J,INSTITUCION._L_INSTITUTION_10,1.42
2018,UNIDAD_MEDIDA.IX,ES70,SERIE.SERIE_J,INSTITUCION._L_INSTITUTION_10,1.43
2019,UNIDAD_MEDIDA.IX,ES70,SERIE.SERIE_J,INSTITUCION._L_INSTITUTION_10,1.43
2020,UNIDAD_MEDIDA.IX,ES70,SERIE.SERIE_J,INSTITUCION._L_INSTITUTION_10,1.43
2021,UNIDAD_MEDIDA.IX,ES70,SERIE.SERIE_J,INSTITUCION._L_INSTITUTION_10,1.44
2010,UNIDAD_MEDIDA.IX,ES70,SERIE.SERIE_K,INSTITUCION._L_INSTITUTION_11,0.92
2011,UNIDAD_MEDIDA.IX,ES70,SERIE.SERIE_K,INSTITUCION._L_INSTITUTION_11,0.92
2012,UNIDAD_MEDIDA.IX,ES70,SERIE.SERIE_K,INSTITUCION._L_INSTITUTION_11,0.9
2013,UNIDAD_MEDIDA.IX,ES70,SERIE.SERIE_K,INSTITUCION._L_INSTITUTION_11,0.91
2014,UNIDAD_MEDIDA.IX,ES70,SERIE.SERIE_K,INSTITUCION._L_INSTITUTION_11,0.9
2015,UNIDAD_MEDIDA.IX,ES70,SERIE.SERIE_K,INSTITUCION._L_INSTITUTION_11,0.91
2016,UNIDAD_MEDIDA.IX,ES70,SERIE.SERIE_K,INSTITUCION._L_INSTITUTION_11,0.93
2017,UNIDAD_MEDIDA.IX,ES70,SERIE.SERIE_K,INSTITUCION._L_INSTITUTION_11,0.94
2018,UNIDAD_MEDIDA.IX,ES70,SERIE.SERIE_K,INSTITUCION._L_INSTITUTION_11,0.95
2019,UNIDAD_MEDIDA.IX,ES70,SERIE.SERIE_K,INSTITUCION._L_INSTITUTION_11,0.97
2020,UNIDAD_MEDIDA.IX,ES70,SERIE.SERIE_K,INSTITUCION._L_INSTITUTION_11,0.99
2021,UNIDAD_MEDIDA.IX,ES70,SERIE.SERIE_K,INSTITUCION._L_INSTITUTION_11,1.02
2020,UNIDAD_MEDIDA.IX,ES70,SERIE.SERIE_L,INSTITUCION._L_INSTITUTION_12,0.95
2021,UNIDAD_MEDIDA.IX,ES70,SERIE.SERIE_L,INSTITUCION._L_INSTITUTION_12,1
2020,UNIDAD_MEDIDA.IX,ES70,SERIE.SERIE_M,INSTITUCION._L_INSTITUTION_13,1.08
2021,UNIDAD_MEDIDA.IX,ES70,SERIE.SERIE_M,INSTITUCION._L_INSTITUTION_13,1.09
2010,UNIDAD_MEDIDA.IX,ES70,SERIE.SERIE_N,INSTITUCION._L_INSTITUTION_14,0.78
2011,UNIDAD_MEDIDA.IX,ES70,SERIE.SERIE_N,INSTITUCION._L_INSTITUTION_14,0.78
2012,UNIDAD_MEDIDA.IX,ES70,SERIE.SERIE_N,INSTITUCION._L_INSTITUTION_14,0.85
2013,UNIDAD_MEDIDA.IX,ES70,SERIE.SERIE_N,INSTITUCION._L_INSTITUTION_14,0.86
2014,UNIDAD_MEDIDA.IX,ES70,SERIE.SERIE_N,INSTITUCION._L_INSTITUTION_14,0.87
2015,UNIDAD_MEDIDA.IX,ES70,SERIE.SERIE_N,INSTITUCION._L_INSTITUTION_14,0.87
2016,UNIDAD_MEDIDA.IX,ES70,SERIE.SERIE_N,INSTITUCION._L_INSTITUTION_14,0.88
2017,UNIDAD_MEDIDA.IX,ES70,SERIE.SERIE_N,INSTITUCION._L_INSTITUTION_14,0.88
2018,UNIDAD_MEDIDA.IX,ES70,SERIE.SERIE_N,INSTITUCION._L_INSTITUTION_14,0.9
2019,UNIDAD_MEDIDA.IX,ES70,SERIE.SERIE_N,INSTITUCION._L_INSTITUTION_14,0.9
2020,UNIDAD_MEDIDA.IX,ES70,SERIE.SERIE_N,INSTITUCION._L_INSTITUTION_14,0.91
2021,UNIDAD_MEDIDA.IX,ES70,SERIE.SERIE_N,INSTITUCION._L_INSTITUTION_14,0.9
