Year,Units,general.territorio,Value
2011,UNIDAD_MEDIDA.PT,ES,46.45
2012,UNIDAD_MEDIDA.PT,ES,40.26
2013,UNIDAD_MEDIDA.PT,ES,31.80
2014,UNIDAD_MEDIDA.PT,ES,32.62
2015,UNIDAD_MEDIDA.PT,ES,37.29
2016,UNIDAD_MEDIDA.PT,ES,37.42
2017,UNIDAD_MEDIDA.PT,ES,46.67
2018,UNIDAD_MEDIDA.PT,ES,47.63
2019,UNIDAD_MEDIDA.PT,ES,52.18
2020,UNIDAD_MEDIDA.PT,ES,49.03
2021,UNIDAD_MEDIDA.PT,ES,49.07
2022,UNIDAD_MEDIDA.PT,ES,51.13
2023,UNIDAD_MEDIDA.PT,ES,54.31
2011,UNIDAD_MEDIDA.PT,ES70,30.34
2012,UNIDAD_MEDIDA.PT,ES70,32.95
2013,UNIDAD_MEDIDA.PT,ES70,14.02
2014,UNIDAD_MEDIDA.PT,ES70,24.00
2015,UNIDAD_MEDIDA.PT,ES70,35.71
2016,UNIDAD_MEDIDA.PT,ES70,22.34
2017,UNIDAD_MEDIDA.PT,ES70,40.78
2018,UNIDAD_MEDIDA.PT,ES70,44.55
2019,UNIDAD_MEDIDA.PT,ES70,43.14
2020,UNIDAD_MEDIDA.PT,ES70,43.55
2021,UNIDAD_MEDIDA.PT,ES70,50.99
2022,UNIDAD_MEDIDA.PT,ES70,43.46
