Year,Units,general.territorio,Value
2017,UNIDAD_MEDIDA.EUR,ES,15.13
2011,UNIDAD_MEDIDA.EUR,ES,14.53
2014,UNIDAD_MEDIDA.EUR,ES,14.80
2010,UNIDAD_MEDIDA.EUR,ES70,12.00
2013,UNIDAD_MEDIDA.EUR,ES70,12.35
2012,UNIDAD_MEDIDA.EUR,ES70,12.34
2012,UNIDAD_MEDIDA.EUR,ES,14.57
2017,UNIDAD_MEDIDA.EUR,ES70,12.49
2018,UNIDAD_MEDIDA.EUR,ES70,12.94
2016,UNIDAD_MEDIDA.EUR,ES70,12.24
2014,UNIDAD_MEDIDA.EUR,ES70,12.22
2011,UNIDAD_MEDIDA.EUR,ES70,12.20
2013,UNIDAD_MEDIDA.EUR,ES,14.64
2016,UNIDAD_MEDIDA.EUR,ES,14.88
2015,UNIDAD_MEDIDA.EUR,ES,15.01
2010,UNIDAD_MEDIDA.EUR,ES,14.52
2015,UNIDAD_MEDIDA.EUR,ES70,12.59
2018,UNIDAD_MEDIDA.EUR,ES,15.54
