Year,Units,general.territorio,Serie,SERIE_TEMPORAL.Encabezado,Value
2010,UNIDAD_MEDIDA.IX,ES,SERIE.SERIE_A,SERIE_TEMPORAL._L_ES_020C01_01,84.23
2011,UNIDAD_MEDIDA.IX,ES,SERIE.SERIE_A,SERIE_TEMPORAL._L_ES_020C01_01,85.90
2012,UNIDAD_MEDIDA.IX,ES,SERIE.SERIE_A,SERIE_TEMPORAL._L_ES_020C01_01,87.88
2013,UNIDAD_MEDIDA.IX,ES,SERIE.SERIE_A,SERIE_TEMPORAL._L_ES_020C01_01,90.42
2014,UNIDAD_MEDIDA.IX,ES,SERIE.SERIE_A,SERIE_TEMPORAL._L_ES_020C01_01,90.10
2015,UNIDAD_MEDIDA.IX,ES,SERIE.SERIE_A,SERIE_TEMPORAL._L_ES_020C01_01,91.18
2016,UNIDAD_MEDIDA.IX,ES,SERIE.SERIE_A,SERIE_TEMPORAL._L_ES_020C01_01,92.46
2017,UNIDAD_MEDIDA.IX,ES,SERIE.SERIE_A,SERIE_TEMPORAL._L_ES_020C01_01,93.63
2018,UNIDAD_MEDIDA.IX,ES,SERIE.SERIE_A,SERIE_TEMPORAL._L_ES_020C01_01,95.13
2019,UNIDAD_MEDIDA.IX,ES,SERIE.SERIE_A,SERIE_TEMPORAL._L_ES_020C01_01,96.09
2020,UNIDAD_MEDIDA.IX,ES,SERIE.SERIE_A,SERIE_TEMPORAL._L_ES_020C01_01,98.40
2021,UNIDAD_MEDIDA.IX,ES,SERIE.SERIE_A,SERIE_TEMPORAL._L_ES_020C01_01,100.00
2022,UNIDAD_MEDIDA.IX,ES,SERIE.SERIE_A,SERIE_TEMPORAL._L_ES_020C01_01,111.89
2023,UNIDAD_MEDIDA.IX,ES,SERIE.SERIE_A,SERIE_TEMPORAL._L_ES_020C01_01,124.89
2010,UNIDAD_MEDIDA.IX,ES,SERIE.SERIE_B,SERIE_TEMPORAL._L_ES_020C01_02,91.92
2011,UNIDAD_MEDIDA.IX,ES,SERIE.SERIE_B,SERIE_TEMPORAL._L_ES_020C01_02,93.75
2012,UNIDAD_MEDIDA.IX,ES,SERIE.SERIE_B,SERIE_TEMPORAL._L_ES_020C01_02,95.69
2013,UNIDAD_MEDIDA.IX,ES,SERIE.SERIE_B,SERIE_TEMPORAL._L_ES_020C01_02,96.91
2014,UNIDAD_MEDIDA.IX,ES,SERIE.SERIE_B,SERIE_TEMPORAL._L_ES_020C01_02,96.44
2015,UNIDAD_MEDIDA.IX,ES,SERIE.SERIE_B,SERIE_TEMPORAL._L_ES_020C01_02,96.58
2016,UNIDAD_MEDIDA.IX,ES,SERIE.SERIE_B,SERIE_TEMPORAL._L_ES_020C01_02,96.83
2017,UNIDAD_MEDIDA.IX,ES,SERIE.SERIE_B,SERIE_TEMPORAL._L_ES_020C01_02,96.44
2018,UNIDAD_MEDIDA.IX,ES,SERIE.SERIE_B,SERIE_TEMPORAL._L_ES_020C01_02,97.17
2019,UNIDAD_MEDIDA.IX,ES,SERIE.SERIE_B,SERIE_TEMPORAL._L_ES_020C01_02,98.31
2020,UNIDAD_MEDIDA.IX,ES,SERIE.SERIE_B,SERIE_TEMPORAL._L_ES_020C01_02,99.27
2021,UNIDAD_MEDIDA.IX,ES,SERIE.SERIE_B,SERIE_TEMPORAL._L_ES_020C01_02,100.00
2022,UNIDAD_MEDIDA.IX,ES,SERIE.SERIE_B,SERIE_TEMPORAL._L_ES_020C01_02,114.86
2023,UNIDAD_MEDIDA.IX,ES,SERIE.SERIE_B,SERIE_TEMPORAL._L_ES_020C01_02,127.41
2010,UNIDAD_MEDIDA.IX,ES70,SERIE.SERIE_A,SERIE_TEMPORAL._L_ES_020C01_01,89.48
2011,UNIDAD_MEDIDA.IX,ES70,SERIE.SERIE_A,SERIE_TEMPORAL._L_ES_020C01_01,91.30
2012,UNIDAD_MEDIDA.IX,ES70,SERIE.SERIE_A,SERIE_TEMPORAL._L_ES_020C01_01,92.67
2013,UNIDAD_MEDIDA.IX,ES70,SERIE.SERIE_A,SERIE_TEMPORAL._L_ES_020C01_01,93.54
2014,UNIDAD_MEDIDA.IX,ES70,SERIE.SERIE_A,SERIE_TEMPORAL._L_ES_020C01_01,92.02
2015,UNIDAD_MEDIDA.IX,ES70,SERIE.SERIE_A,SERIE_TEMPORAL._L_ES_020C01_01,91.86
2016,UNIDAD_MEDIDA.IX,ES70,SERIE.SERIE_A,SERIE_TEMPORAL._L_ES_020C01_01,92.69
2017,UNIDAD_MEDIDA.IX,ES70,SERIE.SERIE_A,SERIE_TEMPORAL._L_ES_020C01_01,94.42
2018,UNIDAD_MEDIDA.IX,ES70,SERIE.SERIE_A,SERIE_TEMPORAL._L_ES_020C01_01,96.10
2019,UNIDAD_MEDIDA.IX,ES70,SERIE.SERIE_A,SERIE_TEMPORAL._L_ES_020C01_01,96.22
2020,UNIDAD_MEDIDA.IX,ES70,SERIE.SERIE_A,SERIE_TEMPORAL._L_ES_020C01_01,98.93
2021,UNIDAD_MEDIDA.IX,ES70,SERIE.SERIE_A,SERIE_TEMPORAL._L_ES_020C01_01,100.00
2022,UNIDAD_MEDIDA.IX,ES70,SERIE.SERIE_A,SERIE_TEMPORAL._L_ES_020C01_01,111.82
2023,UNIDAD_MEDIDA.IX,ES70,SERIE.SERIE_A,SERIE_TEMPORAL._L_ES_020C01_01,127.48
2010,UNIDAD_MEDIDA.IX,ES70,SERIE.SERIE_B,SERIE_TEMPORAL._L_ES_020C01_02,99.49
2011,UNIDAD_MEDIDA.IX,ES70,SERIE.SERIE_B,SERIE_TEMPORAL._L_ES_020C01_02,100.67
2012,UNIDAD_MEDIDA.IX,ES70,SERIE.SERIE_B,SERIE_TEMPORAL._L_ES_020C01_02,101.15
2013,UNIDAD_MEDIDA.IX,ES70,SERIE.SERIE_B,SERIE_TEMPORAL._L_ES_020C01_02,98.87
2014,UNIDAD_MEDIDA.IX,ES70,SERIE.SERIE_B,SERIE_TEMPORAL._L_ES_020C01_02,96.76
2015,UNIDAD_MEDIDA.IX,ES70,SERIE.SERIE_B,SERIE_TEMPORAL._L_ES_020C01_02,96.80
2016,UNIDAD_MEDIDA.IX,ES70,SERIE.SERIE_B,SERIE_TEMPORAL._L_ES_020C01_02,96.83
2017,UNIDAD_MEDIDA.IX,ES70,SERIE.SERIE_B,SERIE_TEMPORAL._L_ES_020C01_02,96.63
2018,UNIDAD_MEDIDA.IX,ES70,SERIE.SERIE_B,SERIE_TEMPORAL._L_ES_020C01_02,97.52
2019,UNIDAD_MEDIDA.IX,ES70,SERIE.SERIE_B,SERIE_TEMPORAL._L_ES_020C01_02,98.24
2020,UNIDAD_MEDIDA.IX,ES70,SERIE.SERIE_B,SERIE_TEMPORAL._L_ES_020C01_02,99.37
2021,UNIDAD_MEDIDA.IX,ES70,SERIE.SERIE_B,SERIE_TEMPORAL._L_ES_020C01_02,100.00
2022,UNIDAD_MEDIDA.IX,ES70,SERIE.SERIE_B,SERIE_TEMPORAL._L_ES_020C01_02,115.39
2023,UNIDAD_MEDIDA.IX,ES70,SERIE.SERIE_B,SERIE_TEMPORAL._L_ES_020C01_02,130.31
