Year,Units,general.territorio,Value
2018,UNIDAD_MEDIDA.PT,ES,17.60
2017,UNIDAD_MEDIDA.PT,ES,18.18
2016,UNIDAD_MEDIDA.PT,ES,17.97
2014,UNIDAD_MEDIDA.PT,ES,18.78
2013,UNIDAD_MEDIDA.PT,ES,18.11
2012,UNIDAD_MEDIDA.PT,ES,17.72
2015,UNIDAD_MEDIDA.PT,ES,18.43
2011,UNIDAD_MEDIDA.PT,ES,16.90
2010,UNIDAD_MEDIDA.PT,ES,16.78
2019,UNIDAD_MEDIDA.PT,ES70,17.00
2018,UNIDAD_MEDIDA.PT,ES70,21.20
2017,UNIDAD_MEDIDA.PT,ES70,20.00
2016,UNIDAD_MEDIDA.PT,ES70,18.70
2015,UNIDAD_MEDIDA.PT,ES70,21.30
2014,UNIDAD_MEDIDA.PT,ES70,19.20
2013,UNIDAD_MEDIDA.PT,ES70,20.40
2012,UNIDAD_MEDIDA.PT,ES70,19.70
2011,UNIDAD_MEDIDA.PT,ES70,13.40
2010,UNIDAD_MEDIDA.PT,ES70,20.40
2019,UNIDAD_MEDIDA.PT,ES,17.16
