Year,Units,general.territorio,Value
2010,UNIDAD_MEDIDA.PER_100_POP,ES,0.25
2011,UNIDAD_MEDIDA.PER_100_POP,ES,0.26
2012,UNIDAD_MEDIDA.PER_100_POP,ES,0.26
2013,UNIDAD_MEDIDA.PER_100_POP,ES,0.30
2014,UNIDAD_MEDIDA.PER_100_POP,ES,0.30
2015,UNIDAD_MEDIDA.PER_100_POP,ES,0.35
2016,UNIDAD_MEDIDA.PER_100_POP,ES,0.38
2017,UNIDAD_MEDIDA.PER_100_POP,ES,0.48
2018,UNIDAD_MEDIDA.PER_100_POP,ES,0.57
2019,UNIDAD_MEDIDA.PER_100_POP,ES,0.67
2020,UNIDAD_MEDIDA.PER_100_POP,ES,0.69
2021,UNIDAD_MEDIDA.PER_100_POP,ES,0.64
2022,UNIDAD_MEDIDA.PER_100_POP,ES,0.70
2010,UNIDAD_MEDIDA.PER_100_POP,ES70,0.00
2011,UNIDAD_MEDIDA.PER_100_POP,ES70,0.00
2012,UNIDAD_MEDIDA.PER_100_POP,ES70,0.00
2013,UNIDAD_MEDIDA.PER_100_POP,ES70,0.10
2014,UNIDAD_MEDIDA.PER_100_POP,ES70,0.11
2015,UNIDAD_MEDIDA.PER_100_POP,ES70,0.16
2016,UNIDAD_MEDIDA.PER_100_POP,ES70,0.38
2017,UNIDAD_MEDIDA.PER_100_POP,ES70,0.62
2018,UNIDAD_MEDIDA.PER_100_POP,ES70,0.70
2019,UNIDAD_MEDIDA.PER_100_POP,ES70,0.77
2020,UNIDAD_MEDIDA.PER_100_POP,ES70,0.73
2021,UNIDAD_MEDIDA.PER_100_POP,ES70,0.66
