Year,Units,general.territorio,Value
2010,UNIDAD_MEDIDA.KT,ES,229.75
2011,UNIDAD_MEDIDA.KT,ES,220.08
2012,UNIDAD_MEDIDA.KT,ES,217.77
2013,UNIDAD_MEDIDA.KT,ES,223.29
2014,UNIDAD_MEDIDA.KT,ES,241.41
2015,UNIDAD_MEDIDA.KT,ES,243.05
2016,UNIDAD_MEDIDA.KT,ES,244.2
2017,UNIDAD_MEDIDA.KT,ES,259.18
2018,UNIDAD_MEDIDA.KT,ES,252.65
2019,UNIDAD_MEDIDA.KT,ES,248.53
2020,UNIDAD_MEDIDA.KT,ES,260.25
2010,UNIDAD_MEDIDA.KT,ES70,1.43
2011,UNIDAD_MEDIDA.KT,ES70,1.35
2012,UNIDAD_MEDIDA.KT,ES70,1.32
2013,UNIDAD_MEDIDA.KT,ES70,1.27
2014,UNIDAD_MEDIDA.KT,ES70,1.38
2015,UNIDAD_MEDIDA.KT,ES70,1.27
2016,UNIDAD_MEDIDA.KT,ES70,1.35
2017,UNIDAD_MEDIDA.KT,ES70,1.42
2018,UNIDAD_MEDIDA.KT,ES70,1.3
2019,UNIDAD_MEDIDA.KT,ES70,1.25
2020,UNIDAD_MEDIDA.KT,ES70,1.29
