Year,Units,Territorio,Serie,Sexo,Value
2010,Minuto,ES70,Serie A,Ambos sexos,188.33
2010,Minuto,ES70,Serie C,Mujeres,253.03
2010,Minuto,ES70,Serie B,Hombres,122.91
2010,Minuto,ES,Serie A,Ambos sexos,182
2010,Minuto,ES,Serie C,Mujeres,247
2010,Minuto,ES,Serie B,Hombres,114
