Year,Units,general.territorio,Value
2010,UNIDAD_MEDIDA.KG_CO2_PER_GDP_EUR,ES,0.30
2011,UNIDAD_MEDIDA.KG_CO2_PER_GDP_EUR,ES,0.30
2012,UNIDAD_MEDIDA.KG_CO2_PER_GDP_EUR,ES,0.31
2013,UNIDAD_MEDIDA.KG_CO2_PER_GDP_EUR,ES,0.28
2014,UNIDAD_MEDIDA.KG_CO2_PER_GDP_EUR,ES,0.28
2015,UNIDAD_MEDIDA.KG_CO2_PER_GDP_EUR,ES,0.29
2016,UNIDAD_MEDIDA.KG_CO2_PER_GDP_EUR,ES,0.27
2017,UNIDAD_MEDIDA.KG_CO2_PER_GDP_EUR,ES,0.27
2018,UNIDAD_MEDIDA.KG_CO2_PER_GDP_EUR,ES,0.26
2019,UNIDAD_MEDIDA.KG_CO2_PER_GDP_EUR,ES,0.25
2020,UNIDAD_MEDIDA.KG_CO2_PER_GDP_EUR,ES,0.23
2021,UNIDAD_MEDIDA.KG_CO2_PER_GDP_EUR,ES,0.23
2010,UNIDAD_MEDIDA.KG_CO2_PER_GDP_EUR,ES70,0.49
2011,UNIDAD_MEDIDA.KG_CO2_PER_GDP_EUR,ES70,0.48
2012,UNIDAD_MEDIDA.KG_CO2_PER_GDP_EUR,ES70,0.49
2013,UNIDAD_MEDIDA.KG_CO2_PER_GDP_EUR,ES70,0.44
2014,UNIDAD_MEDIDA.KG_CO2_PER_GDP_EUR,ES70,0.44
2015,UNIDAD_MEDIDA.KG_CO2_PER_GDP_EUR,ES70,0.43
2016,UNIDAD_MEDIDA.KG_CO2_PER_GDP_EUR,ES70,0.43
2017,UNIDAD_MEDIDA.KG_CO2_PER_GDP_EUR,ES70,0.43
2018,UNIDAD_MEDIDA.KG_CO2_PER_GDP_EUR,ES70,0.42
2019,UNIDAD_MEDIDA.KG_CO2_PER_GDP_EUR,ES70,0.41
2020,UNIDAD_MEDIDA.KG_CO2_PER_GDP_EUR,ES70,0.40
2021,UNIDAD_MEDIDA.KG_CO2_PER_GDP_EUR,ES70,0.41
