Year,Units,general.territorio,Serie,SERIE_TEMPORAL.Encabezado,Value
2015,UNIDAD_MEDIDA.EUR_1000000,ES70,SERIE.SERIE_A,SERIE_TEMPORAL._L_ES_170301_1A,26.13
2016,UNIDAD_MEDIDA.EUR_1000000,ES70,SERIE.SERIE_A,SERIE_TEMPORAL._L_ES_170301_1A,30.19
2017,UNIDAD_MEDIDA.EUR_1000000,ES70,SERIE.SERIE_A,SERIE_TEMPORAL._L_ES_170301_1A,-96.23
2018,UNIDAD_MEDIDA.EUR_1000000,ES70,SERIE.SERIE_A,SERIE_TEMPORAL._L_ES_170301_1A,124.67
2019,UNIDAD_MEDIDA.EUR_1000000,ES70,SERIE.SERIE_A,SERIE_TEMPORAL._L_ES_170301_1A,-0.25
2020,UNIDAD_MEDIDA.EUR_1000000,ES70,SERIE.SERIE_A,SERIE_TEMPORAL._L_ES_170301_1A,-6.28
2010,UNIDAD_MEDIDA.PT,ES70,SERIE.SERIE_B,SERIE_TEMPORAL._L_ES_170301_2A,0.02
2011,UNIDAD_MEDIDA.PT,ES70,SERIE.SERIE_B,SERIE_TEMPORAL._L_ES_170301_2A,0.1
2012,UNIDAD_MEDIDA.PT,ES70,SERIE.SERIE_B,SERIE_TEMPORAL._L_ES_170301_2A,0.02
2013,UNIDAD_MEDIDA.PT,ES70,SERIE.SERIE_B,SERIE_TEMPORAL._L_ES_170301_2A,0.06
2014,UNIDAD_MEDIDA.PT,ES70,SERIE.SERIE_B,SERIE_TEMPORAL._L_ES_170301_2A,0.01
2015,UNIDAD_MEDIDA.PT,ES70,SERIE.SERIE_B,SERIE_TEMPORAL._L_ES_170301_2A,0.06
2016,UNIDAD_MEDIDA.PT,ES70,SERIE.SERIE_B,SERIE_TEMPORAL._L_ES_170301_2A,0.07
2017,UNIDAD_MEDIDA.PT,ES70,SERIE.SERIE_B,SERIE_TEMPORAL._L_ES_170301_2A,-0.22
2018,UNIDAD_MEDIDA.PT,ES70,SERIE.SERIE_B,SERIE_TEMPORAL._L_ES_170301_2A,0.27
2019,UNIDAD_MEDIDA.PT,ES70,SERIE.SERIE_B,SERIE_TEMPORAL._L_ES_170301_2A,0.00
2020,UNIDAD_MEDIDA.PT,ES70,SERIE.SERIE_B,SERIE_TEMPORAL._L_ES_170301_2A,-0.02
2010,UNIDAD_MEDIDA.EUR_1000000,ES70,SERIE.SERIE_C,SERIE_TEMPORAL._L_ES_170301_1B,14.92
2011,UNIDAD_MEDIDA.EUR_1000000,ES70,SERIE.SERIE_C,SERIE_TEMPORAL._L_ES_170301_1B,44776
2012,UNIDAD_MEDIDA.EUR_1000000,ES70,SERIE.SERIE_C,SERIE_TEMPORAL._L_ES_170301_1B,2.29
2013,UNIDAD_MEDIDA.EUR_1000000,ES70,SERIE.SERIE_C,SERIE_TEMPORAL._L_ES_170301_1B,44866
