Year,Units,general.territorio,Serie,DIM_DES.SERVICIO,Value
2018,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_D,SERVICIO._L_SERVICE_03,20.65
2019,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_D,SERVICIO._L_SERVICE_03,28.62
2020,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_D,SERVICIO._L_SERVICE_03,41.14
2021,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_D,SERVICIO._L_SERVICE_03,35.19
2022,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_D,SERVICIO._L_SERVICE_03,43.51
2023,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_D,SERVICIO._L_SERVICE_03,54.50
2024,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_D,SERVICIO._L_SERVICE_03,48.93
2011,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_E,SERVICIO._L_SERVICE_04,15.66
2012,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_E,SERVICIO._L_SERVICE_04,14.35
2013,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_E,SERVICIO._L_SERVICE_04,12.40
2014,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_E,SERVICIO._L_SERVICE_04,11.60
2015,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_E,SERVICIO._L_SERVICE_04,15.47
2016,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_E,SERVICIO._L_SERVICE_04,15.07
2017,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_E,SERVICIO._L_SERVICE_04,18.50
2018,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_E,SERVICIO._L_SERVICE_04,17.13
2019,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_E,SERVICIO._L_SERVICE_04,20.88
2020,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_E,SERVICIO._L_SERVICE_04,20.63
