Year,Units,general.territorio,Serie,DIM_DES.SERVICIO,Value
2011,UNIDAD_MEDIDA.PT,ES70,SERIE.SERIE_I,SERVICIO._L_SERVICE_08,31.46
2012,UNIDAD_MEDIDA.PT,ES70,SERIE.SERIE_I,SERVICIO._L_SERVICE_08,44.44
2013,UNIDAD_MEDIDA.PT,ES70,SERIE.SERIE_I,SERVICIO._L_SERVICE_08,28.97
2014,UNIDAD_MEDIDA.PT,ES70,SERIE.SERIE_I,SERVICIO._L_SERVICE_08,31.07
2015,UNIDAD_MEDIDA.PT,ES70,SERIE.SERIE_I,SERVICIO._L_SERVICE_08,35.92
2016,UNIDAD_MEDIDA.PT,ES70,SERIE.SERIE_I,SERVICIO._L_SERVICE_08,32.00
2017,UNIDAD_MEDIDA.PT,ES70,SERIE.SERIE_I,SERVICIO._L_SERVICE_08,49.02
2018,UNIDAD_MEDIDA.PT,ES70,SERIE.SERIE_I,SERVICIO._L_SERVICE_08,40.59
2019,UNIDAD_MEDIDA.PT,ES70,SERIE.SERIE_I,SERVICIO._L_SERVICE_08,41.90
2020,UNIDAD_MEDIDA.PT,ES70,SERIE.SERIE_I,SERVICIO._L_SERVICE_08,40.98
2021,UNIDAD_MEDIDA.PT,ES70,SERIE.SERIE_I,SERVICIO._L_SERVICE_08,43.19
2022,UNIDAD_MEDIDA.PT,ES70,SERIE.SERIE_I,SERVICIO._L_SERVICE_08,31.58
2023,UNIDAD_MEDIDA.PT,ES70,SERIE.SERIE_I,SERVICIO._L_SERVICE_08,39.42
2011,UNIDAD_MEDIDA.PT,ES70,SERIE.SERIE_J,SERVICIO._L_SERVICE_09,24.05
2012,UNIDAD_MEDIDA.PT,ES70,SERIE.SERIE_J,SERVICIO._L_SERVICE_09,19.51
2013,UNIDAD_MEDIDA.PT,ES70,SERIE.SERIE_J,SERVICIO._L_SERVICE_09,11.58
2014,UNIDAD_MEDIDA.PT,ES70,SERIE.SERIE_J,SERVICIO._L_SERVICE_09,13.19
2015,UNIDAD_MEDIDA.PT,ES70,SERIE.SERIE_J,SERVICIO._L_SERVICE_09,16.33
2016,UNIDAD_MEDIDA.PT,ES70,SERIE.SERIE_J,SERVICIO._L_SERVICE_09,13.83
2017,UNIDAD_MEDIDA.PT,ES70,SERIE.SERIE_J,SERVICIO._L_SERVICE_09,27.27
2018,UNIDAD_MEDIDA.PT,ES70,SERIE.SERIE_J,SERVICIO._L_SERVICE_09,18.09
2019,UNIDAD_MEDIDA.PT,ES70,SERIE.SERIE_J,SERVICIO._L_SERVICE_09,29.89
2020,UNIDAD_MEDIDA.PT,ES70,SERIE.SERIE_J,SERVICIO._L_SERVICE_09,25.49
2021,UNIDAD_MEDIDA.PT,ES70,SERIE.SERIE_J,SERVICIO._L_SERVICE_09,18.87
2022,UNIDAD_MEDIDA.PT,ES70,SERIE.SERIE_J,SERVICIO._L_SERVICE_09,30.39
2023,UNIDAD_MEDIDA.PT,ES70,SERIE.SERIE_J,SERVICIO._L_SERVICE_09,23.53
