Year,Units,general.territorio,Serie,DIM_DES.SEXO,Value
2010,UNIDAD_MEDIDA.PER_1000,ES,SERIE.SERIE_A,SEXO._T,0
2011,UNIDAD_MEDIDA.PER_1000,ES,SERIE.SERIE_A,SEXO._T,0
2012,UNIDAD_MEDIDA.PER_1000,ES,SERIE.SERIE_A,SEXO._T,0
2013,UNIDAD_MEDIDA.PER_1000,ES,SERIE.SERIE_A,SEXO._T,0
2014,UNIDAD_MEDIDA.PER_1000,ES,SERIE.SERIE_A,SEXO._T,0
2015,UNIDAD_MEDIDA.PER_1000,ES,SERIE.SERIE_A,SEXO._T,0
2016,UNIDAD_MEDIDA.PER_1000,ES,SERIE.SERIE_A,SEXO._T,0
2017,UNIDAD_MEDIDA.PER_1000,ES,SERIE.SERIE_A,SEXO._T,0
2018,UNIDAD_MEDIDA.PER_1000,ES,SERIE.SERIE_A,SEXO._T,0
2019,UNIDAD_MEDIDA.PER_1000,ES,SERIE.SERIE_A,SEXO._T,0
2010,UNIDAD_MEDIDA.PER_1000,ES,SERIE.SERIE_B,SEXO.M,0
2011,UNIDAD_MEDIDA.PER_1000,ES,SERIE.SERIE_B,SEXO.M,0
2012,UNIDAD_MEDIDA.PER_1000,ES,SERIE.SERIE_B,SEXO.M,0
2013,UNIDAD_MEDIDA.PER_1000,ES,SERIE.SERIE_B,SEXO.M,0
2014,UNIDAD_MEDIDA.PER_1000,ES,SERIE.SERIE_B,SEXO.M,0
2015,UNIDAD_MEDIDA.PER_1000,ES,SERIE.SERIE_B,SEXO.M,0
2016,UNIDAD_MEDIDA.PER_1000,ES,SERIE.SERIE_B,SEXO.M,0
2017,UNIDAD_MEDIDA.PER_1000,ES,SERIE.SERIE_B,SEXO.M,0
2018,UNIDAD_MEDIDA.PER_1000,ES,SERIE.SERIE_B,SEXO.M,0
2019,UNIDAD_MEDIDA.PER_1000,ES,SERIE.SERIE_B,SEXO.M,0
2010,UNIDAD_MEDIDA.PER_1000,ES,SERIE.SERIE_C,SEXO.F,0
2011,UNIDAD_MEDIDA.PER_1000,ES,SERIE.SERIE_C,SEXO.F,0
2012,UNIDAD_MEDIDA.PER_1000,ES,SERIE.SERIE_C,SEXO.F,0
2013,UNIDAD_MEDIDA.PER_1000,ES,SERIE.SERIE_C,SEXO.F,0
2014,UNIDAD_MEDIDA.PER_1000,ES,SERIE.SERIE_C,SEXO.F,0
2015,UNIDAD_MEDIDA.PER_1000,ES,SERIE.SERIE_C,SEXO.F,0
2016,UNIDAD_MEDIDA.PER_1000,ES,SERIE.SERIE_C,SEXO.F,0
2017,UNIDAD_MEDIDA.PER_1000,ES,SERIE.SERIE_C,SEXO.F,0
2018,UNIDAD_MEDIDA.PER_1000,ES,SERIE.SERIE_C,SEXO.F,0
2019,UNIDAD_MEDIDA.PER_1000,ES,SERIE.SERIE_C,SEXO.F,0
2010,UNIDAD_MEDIDA.PER_1000,ES70,SERIE.SERIE_A,SEXO._T,0
