Year,Units,general.territorio,Value
2018,UNIDAD_MEDIDA.PER_100000_POP,ES70,0.00
2017,UNIDAD_MEDIDA.PER_100000_POP,ES70,0.05
2016,UNIDAD_MEDIDA.PER_100000_POP,ES70,0.05
2018,UNIDAD_MEDIDA.PER_100000_POP,ES,0.22
2017,UNIDAD_MEDIDA.PER_100000_POP,ES,0.12
2016,UNIDAD_MEDIDA.PER_100000_POP,ES,0.12
2015,UNIDAD_MEDIDA.PER_100000_POP,ES70,0.05
2015,UNIDAD_MEDIDA.PER_100000_POP,ES,0.17
2014,UNIDAD_MEDIDA.PER_100000_POP,ES,0.06
2013,UNIDAD_MEDIDA.PER_100000_POP,ES,0.10
2012,UNIDAD_MEDIDA.PER_100000_POP,ES,0.12
2014,UNIDAD_MEDIDA.PER_100000_POP,ES70,0.05
2011,UNIDAD_MEDIDA.PER_100000_POP,ES,0.11
2010,UNIDAD_MEDIDA.PER_100000_POP,ES,0.15
2013,UNIDAD_MEDIDA.PER_100000_POP,ES70,0.09
2012,UNIDAD_MEDIDA.PER_100000_POP,ES70,0.00
2011,UNIDAD_MEDIDA.PER_100000_POP,ES70,0.05
2010,UNIDAD_MEDIDA.PER_100000_POP,ES70,0.05
