Year,Units,general.territorio,Value
2017,UNIDAD_MEDIDA.PC_PNT,ES,11.85
2018,UNIDAD_MEDIDA.PC_PNT,ES,12.14
2019,UNIDAD_MEDIDA.PC_PNT,ES,11.85
2020,UNIDAD_MEDIDA.PC_PNT,ES,11.40
2021,UNIDAD_MEDIDA.PC_PNT,ES,10.68
2022,UNIDAD_MEDIDA.PC_PNT,ES,10.90
2010,UNIDAD_MEDIDA.PC_PNT,ES70,9.90
2011,UNIDAD_MEDIDA.PC_PNT,ES70,8.99
2012,UNIDAD_MEDIDA.PC_PNT,ES70,9.31
2013,UNIDAD_MEDIDA.PC_PNT,ES70,6.44
2014,UNIDAD_MEDIDA.PC_PNT,ES70,8.26
2015,UNIDAD_MEDIDA.PC_PNT,ES70,10.52
2016,UNIDAD_MEDIDA.PC_PNT,ES70,10.59
2017,UNIDAD_MEDIDA.PC_PNT,ES70,10.53
2018,UNIDAD_MEDIDA.PC_PNT,ES70,9.91
2019,UNIDAD_MEDIDA.PC_PNT,ES70,9.92
2020,UNIDAD_MEDIDA.PC_PNT,ES70,8.39
2021,UNIDAD_MEDIDA.PC_PNT,ES70,6.67
2022,UNIDAD_MEDIDA.PC_PNT,ES70,10.16
2023,UNIDAD_MEDIDA.PC_PNT,ES70,11.76
