Year,Units,general.territorio,Serie,Value
,UNIDAD_MEDIDA.,,SERIE.SERIE_B,
2010,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_A,5.72
2011,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_A,5.65
2012,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_A,5.62
2013,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_A,5.91
2014,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_A,6.41
2015,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_A,7.01
2016,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_A,7.28
2017,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_A,7.08
2018,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_A,7.05
2019,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_A,7.87
2020,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_A,8.54
2021,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_A,9.99
2022,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_A,9.45
2023,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_A,9.25
2010,UNIDAD_MEDIDA.PT,ES70,SERIE.SERIE_A,5.59
2011,UNIDAD_MEDIDA.PT,ES70,SERIE.SERIE_A,6.54
2012,UNIDAD_MEDIDA.PT,ES70,SERIE.SERIE_A,6.64
2013,UNIDAD_MEDIDA.PT,ES70,SERIE.SERIE_A,6.89
2014,UNIDAD_MEDIDA.PT,ES70,SERIE.SERIE_A,7.66
2015,UNIDAD_MEDIDA.PT,ES70,SERIE.SERIE_A,7.78
2016,UNIDAD_MEDIDA.PT,ES70,SERIE.SERIE_A,7.85
2017,UNIDAD_MEDIDA.PT,ES70,SERIE.SERIE_A,6.92
2018,UNIDAD_MEDIDA.PT,ES70,SERIE.SERIE_A,7.15
2019,UNIDAD_MEDIDA.PT,ES70,SERIE.SERIE_A,7.18
2020,UNIDAD_MEDIDA.PT,ES70,SERIE.SERIE_A,8.71
2021,UNIDAD_MEDIDA.PT,ES70,SERIE.SERIE_A,7.32
2022,UNIDAD_MEDIDA.PT,ES70,SERIE.SERIE_A,9.47
2023,UNIDAD_MEDIDA.PT,ES70,SERIE.SERIE_A,6.33
