Year,Units,general.territorio,Value
2017,UNIDAD_MEDIDA.PT,ES,-16.91
2018,UNIDAD_MEDIDA.PT,ES,-17.20
2019,UNIDAD_MEDIDA.PT,ES,-16.93
2020,UNIDAD_MEDIDA.PT,ES,-16.26
2021,UNIDAD_MEDIDA.PT,ES,-16.04
2022,UNIDAD_MEDIDA.PT,ES,-15.15
2010,UNIDAD_MEDIDA.PT,ES70,-13.96
2011,UNIDAD_MEDIDA.PT,ES70,-12.96
2012,UNIDAD_MEDIDA.PT,ES70,-11.87
2013,UNIDAD_MEDIDA.PT,ES70,-13.50
2014,UNIDAD_MEDIDA.PT,ES70,-11.94
2015,UNIDAD_MEDIDA.PT,ES70,-14.94
2016,UNIDAD_MEDIDA.PT,ES70,-14.08
2017,UNIDAD_MEDIDA.PT,ES70,-13.62
2018,UNIDAD_MEDIDA.PT,ES70,-13.74
2019,UNIDAD_MEDIDA.PT,ES70,-11.96
2020,UNIDAD_MEDIDA.PT,ES70,-13.04
2021,UNIDAD_MEDIDA.PT,ES70,-11.04
2022,UNIDAD_MEDIDA.PT,ES70,-11.11
2023,UNIDAD_MEDIDA.PT,ES70,-10.33
