Year,Units,general.territorio,Value
2010,UNIDAD_MEDIDA.IX,ES,91.92
2011,UNIDAD_MEDIDA.IX,ES,93.75
2012,UNIDAD_MEDIDA.IX,ES,95.69
2013,UNIDAD_MEDIDA.IX,ES,96.91
2014,UNIDAD_MEDIDA.IX,ES,96.44
2015,UNIDAD_MEDIDA.IX,ES,96.58
2016,UNIDAD_MEDIDA.IX,ES,96.83
2017,UNIDAD_MEDIDA.IX,ES,96.44
2018,UNIDAD_MEDIDA.IX,ES,97.17
2019,UNIDAD_MEDIDA.IX,ES,98.31
2020,UNIDAD_MEDIDA.IX,ES,99.27
2021,UNIDAD_MEDIDA.IX,ES,100.00
2022,UNIDAD_MEDIDA.IX,ES,114.86
2023,UNIDAD_MEDIDA.IX,ES,127.41
2010,UNIDAD_MEDIDA.IX,ES70,99.49
2011,UNIDAD_MEDIDA.IX,ES70,100.67
2012,UNIDAD_MEDIDA.IX,ES70,101.15
2013,UNIDAD_MEDIDA.IX,ES70,98.87
2014,UNIDAD_MEDIDA.IX,ES70,96.76
2015,UNIDAD_MEDIDA.IX,ES70,96.80
2016,UNIDAD_MEDIDA.IX,ES70,96.83
2017,UNIDAD_MEDIDA.IX,ES70,96.63
2018,UNIDAD_MEDIDA.IX,ES70,97.52
2019,UNIDAD_MEDIDA.IX,ES70,98.24
2020,UNIDAD_MEDIDA.IX,ES70,99.37
2021,UNIDAD_MEDIDA.IX,ES70,100.00
2022,UNIDAD_MEDIDA.IX,ES70,115.39
2023,UNIDAD_MEDIDA.IX,ES70,130.31
