Year,Units,general.territorio,Serie,DIM_DES.SEXO,Value
2010,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_A,SEXO._T,98.50
2011,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_A,SEXO._T,98.10
2012,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_A,SEXO._T,97.70
2013,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_A,SEXO._T,97.60
2014,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_A,SEXO._T,97.20
2015,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_A,SEXO._T,98.00
2016,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_A,SEXO._T,98.10
2017,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_A,SEXO._T,95.80
2018,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_A,SEXO._T,98.70
2019,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_A,SEXO._T,98.90
2020,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_A,SEXO._T,98.90
2021,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_A,SEXO._T,98.30
2022,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_A,SEXO._T,98.60
2023,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_A,SEXO._T,98.60
2010,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_B,SEXO.M,97.90
2011,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_B,SEXO.M,97.50
2012,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_B,SEXO.M,97.50
2013,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_B,SEXO.M,97.30
2014,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_B,SEXO.M,97.10
2015,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_B,SEXO.M,97.80
2016,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_B,SEXO.M,98.00
2017,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_B,SEXO.M,95.70
2018,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_B,SEXO.M,98.60
2019,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_B,SEXO.M,98.80
2020,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_B,SEXO.M,98.90
2021,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_B,SEXO.M,98.40
2022,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_B,SEXO.M,98.60
2010,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_C,SEXO.F,99.20
2011,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_C,SEXO.F,98.80
2012,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_C,SEXO.F,98.00
2013,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_C,SEXO.F,97.90
2014,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_C,SEXO.F,97.30
2015,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_C,SEXO.F,98.10
2016,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_C,SEXO.F,98.20
2017,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_C,SEXO.F,95.90
2018,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_C,SEXO.F,98.80
2019,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_C,SEXO.F,98.90
2020,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_C,SEXO.F,98.90
2021,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_C,SEXO.F,98.30
2022,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_C,SEXO.F,98.60
2010,UNIDAD_MEDIDA.PT,ES70,SERIE.SERIE_A,SEXO._T,97.90
2011,UNIDAD_MEDIDA.PT,ES70,SERIE.SERIE_A,SEXO._T,95.60
2012,UNIDAD_MEDIDA.PT,ES70,SERIE.SERIE_A,SEXO._T,95.70
2013,UNIDAD_MEDIDA.PT,ES70,SERIE.SERIE_A,SEXO._T,95.20
2014,UNIDAD_MEDIDA.PT,ES70,SERIE.SERIE_A,SEXO._T,97.40
2015,UNIDAD_MEDIDA.PT,ES70,SERIE.SERIE_A,SEXO._T,98.30
2016,UNIDAD_MEDIDA.PT,ES70,SERIE.SERIE_A,SEXO._T,97.90
2017,UNIDAD_MEDIDA.PT,ES70,SERIE.SERIE_A,SEXO._T,98.30
2018,UNIDAD_MEDIDA.PT,ES70,SERIE.SERIE_A,SEXO._T,97.50
2019,UNIDAD_MEDIDA.PT,ES70,SERIE.SERIE_A,SEXO._T,97.20
2020,UNIDAD_MEDIDA.PT,ES70,SERIE.SERIE_A,SEXO._T,97.00
2021,UNIDAD_MEDIDA.PT,ES70,SERIE.SERIE_A,SEXO._T,95.70
2022,UNIDAD_MEDIDA.PT,ES70,SERIE.SERIE_A,SEXO._T,95.60
2023,UNIDAD_MEDIDA.PT,ES70,SERIE.SERIE_A,SEXO._T,96.30
2010,UNIDAD_MEDIDA.PT,ES70,SERIE.SERIE_B,SEXO.M,97.00
2011,UNIDAD_MEDIDA.PT,ES70,SERIE.SERIE_B,SEXO.M,95.50
2012,UNIDAD_MEDIDA.PT,ES70,SERIE.SERIE_B,SEXO.M,95.30
2013,UNIDAD_MEDIDA.PT,ES70,SERIE.SERIE_B,SEXO.M,94.30
2014,UNIDAD_MEDIDA.PT,ES70,SERIE.SERIE_B,SEXO.M,97.20
2015,UNIDAD_MEDIDA.PT,ES70,SERIE.SERIE_B,SEXO.M,98.10
2016,UNIDAD_MEDIDA.PT,ES70,SERIE.SERIE_B,SEXO.M,98.00
2017,UNIDAD_MEDIDA.PT,ES70,SERIE.SERIE_B,SEXO.M,97.80
2018,UNIDAD_MEDIDA.PT,ES70,SERIE.SERIE_B,SEXO.M,96.90
2019,UNIDAD_MEDIDA.PT,ES70,SERIE.SERIE_B,SEXO.M,97.00
2020,UNIDAD_MEDIDA.PT,ES70,SERIE.SERIE_B,SEXO.M,96.70
2021,UNIDAD_MEDIDA.PT,ES70,SERIE.SERIE_B,SEXO.M,95.50
2022,UNIDAD_MEDIDA.PT,ES70,SERIE.SERIE_B,SEXO.M,95.50
2010,UNIDAD_MEDIDA.PT,ES70,SERIE.SERIE_C,SEXO.F,98.90
2011,UNIDAD_MEDIDA.PT,ES70,SERIE.SERIE_C,SEXO.F,95.80
