Year,Units,general.territorio,Serie,SERIE_TEMPORAL.Encabezado,Value
2010,UNIDAD_MEDIDA.EUR_1000000,ES,SERIE.SERIE_A,SERIE_TEMPORAL._L_ES_080B01_6A,4994.44
2011,UNIDAD_MEDIDA.EUR_1000000,ES,SERIE.SERIE_A,SERIE_TEMPORAL._L_ES_080B01_6A,4642.07
2012,UNIDAD_MEDIDA.EUR_1000000,ES,SERIE.SERIE_A,SERIE_TEMPORAL._L_ES_080B01_6A,4004.13
2013,UNIDAD_MEDIDA.EUR_1000000,ES,SERIE.SERIE_A,SERIE_TEMPORAL._L_ES_080B01_6A,2799.03
2014,UNIDAD_MEDIDA.EUR_1000000,ES,SERIE.SERIE_A,SERIE_TEMPORAL._L_ES_080B01_6A,2975.23
2015,UNIDAD_MEDIDA.EUR_1000000,ES,SERIE.SERIE_A,SERIE_TEMPORAL._L_ES_080B01_6A,3089.97
2016,UNIDAD_MEDIDA.EUR_1000000,ES,SERIE.SERIE_A,SERIE_TEMPORAL._L_ES_080B01_6A,3127.38
2017,UNIDAD_MEDIDA.EUR_1000000,ES,SERIE.SERIE_A,SERIE_TEMPORAL._L_ES_080B01_6A,3654.89
2018,UNIDAD_MEDIDA.EUR_1000000,ES,SERIE.SERIE_A,SERIE_TEMPORAL._L_ES_080B01_6A,3752.89
2019,UNIDAD_MEDIDA.EUR_1000000,ES,SERIE.SERIE_A,SERIE_TEMPORAL._L_ES_080B01_6A,4133.64
2010,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_B,SERIE_TEMPORAL._L_ES_080B01_6B,3.01
2011,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_B,SERIE_TEMPORAL._L_ES_080B01_6B,2.85
2012,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_B,SERIE_TEMPORAL._L_ES_080B01_6B,2.34
2013,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_B,SERIE_TEMPORAL._L_ES_080B01_6B,1.73
2014,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_B,SERIE_TEMPORAL._L_ES_080B01_6B,1.76
2015,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_B,SERIE_TEMPORAL._L_ES_080B01_6B,1.81
2016,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_B,SERIE_TEMPORAL._L_ES_080B01_6B,1.85
2017,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_B,SERIE_TEMPORAL._L_ES_080B01_6B,2.08
2018,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_B,SERIE_TEMPORAL._L_ES_080B01_6B,1.98
2019,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_B,SERIE_TEMPORAL._L_ES_080B01_6B,2.07
2010,UNIDAD_MEDIDA.EUR_1000000,ES70,SERIE.SERIE_A,SERIE_TEMPORAL._L_ES_080B01_6A,247.55
2011,UNIDAD_MEDIDA.EUR_1000000,ES70,SERIE.SERIE_A,SERIE_TEMPORAL._L_ES_080B01_6A,291.94
2012,UNIDAD_MEDIDA.EUR_1000000,ES70,SERIE.SERIE_A,SERIE_TEMPORAL._L_ES_080B01_6A,162.8
2013,UNIDAD_MEDIDA.EUR_1000000,ES70,SERIE.SERIE_A,SERIE_TEMPORAL._L_ES_080B01_6A,158.02
2014,UNIDAD_MEDIDA.EUR_1000000,ES70,SERIE.SERIE_A,SERIE_TEMPORAL._L_ES_080B01_6A,127.44
2015,UNIDAD_MEDIDA.EUR_1000000,ES70,SERIE.SERIE_A,SERIE_TEMPORAL._L_ES_080B01_6A,123
2016,UNIDAD_MEDIDA.EUR_1000000,ES70,SERIE.SERIE_A,SERIE_TEMPORAL._L_ES_080B01_6A,171.35
2017,UNIDAD_MEDIDA.EUR_1000000,ES70,SERIE.SERIE_A,SERIE_TEMPORAL._L_ES_080B01_6A,192.11
2018,UNIDAD_MEDIDA.EUR_1000000,ES70,SERIE.SERIE_A,SERIE_TEMPORAL._L_ES_080B01_6A,219.49
2019,UNIDAD_MEDIDA.EUR_1000000,ES70,SERIE.SERIE_A,SERIE_TEMPORAL._L_ES_080B01_6A,270.99
2010,UNIDAD_MEDIDA.PT,ES70,SERIE.SERIE_B,SERIE_TEMPORAL._L_ES_080B01_6B,3.22
2011,UNIDAD_MEDIDA.PT,ES70,SERIE.SERIE_B,SERIE_TEMPORAL._L_ES_080B01_6B,4.32
2012,UNIDAD_MEDIDA.PT,ES70,SERIE.SERIE_B,SERIE_TEMPORAL._L_ES_080B01_6B,2.31
2013,UNIDAD_MEDIDA.PT,ES70,SERIE.SERIE_B,SERIE_TEMPORAL._L_ES_080B01_6B,2.31
2014,UNIDAD_MEDIDA.PT,ES70,SERIE.SERIE_B,SERIE_TEMPORAL._L_ES_080B01_6B,1.73
2015,UNIDAD_MEDIDA.PT,ES70,SERIE.SERIE_B,SERIE_TEMPORAL._L_ES_080B01_6B,1.79
2016,UNIDAD_MEDIDA.PT,ES70,SERIE.SERIE_B,SERIE_TEMPORAL._L_ES_080B01_6B,2.34
2017,UNIDAD_MEDIDA.PT,ES70,SERIE.SERIE_B,SERIE_TEMPORAL._L_ES_080B01_6B,2.51
2018,UNIDAD_MEDIDA.PT,ES70,SERIE.SERIE_B,SERIE_TEMPORAL._L_ES_080B01_6B,2.71
2019,UNIDAD_MEDIDA.PT,ES70,SERIE.SERIE_B,SERIE_TEMPORAL._L_ES_080B01_6B,3.12
