Year,Units,general.territorio,Value
2018,UNIDAD_MEDIDA.KG_PER_CAPITA_DAY,ES,1.33
2018,UNIDAD_MEDIDA.KG_PER_CAPITA_DAY,ES70,1.67
2017,UNIDAD_MEDIDA.KG_PER_CAPITA_DAY,ES70,1.64
2016,UNIDAD_MEDIDA.KG_PER_CAPITA_DAY,ES70,1.59
2015,UNIDAD_MEDIDA.KG_PER_CAPITA_DAY,ES70,1.63
2014,UNIDAD_MEDIDA.KG_PER_CAPITA_DAY,ES70,1.63
2013,UNIDAD_MEDIDA.KG_PER_CAPITA_DAY,ES70,1.57
2012,UNIDAD_MEDIDA.KG_PER_CAPITA_DAY,ES70,1.72
2011,UNIDAD_MEDIDA.KG_PER_CAPITA_DAY,ES70,1.83
2010,UNIDAD_MEDIDA.KG_PER_CAPITA_DAY,ES70,1.92
2017,UNIDAD_MEDIDA.KG_PER_CAPITA_DAY,ES,1.33
2016,UNIDAD_MEDIDA.KG_PER_CAPITA_DAY,ES,1.29
2015,UNIDAD_MEDIDA.KG_PER_CAPITA_DAY,ES,1.28
2014,UNIDAD_MEDIDA.KG_PER_CAPITA_DAY,ES,1.26
2013,UNIDAD_MEDIDA.KG_PER_CAPITA_DAY,ES,1.28
2012,UNIDAD_MEDIDA.KG_PER_CAPITA_DAY,ES,1.31
2011,UNIDAD_MEDIDA.KG_PER_CAPITA_DAY,ES,1.36
2010,UNIDAD_MEDIDA.KG_PER_CAPITA_DAY,ES,1.43
