Year,Units,Territorio,Value
2010,Por 1.000 nacidos vivos,ES70,3.50
2011,Por 1.000 nacidos vivos,ES70,4.53
2012,Por 1.000 nacidos vivos,ES70,2.96
2013,Por 1.000 nacidos vivos,ES70,3.28
2014,Por 1.000 nacidos vivos,ES70,3.48
2015,Por 1.000 nacidos vivos,ES70,3.16
2016,Por 1.000 nacidos vivos,ES70,3.22
2017,Por 1.000 nacidos vivos,ES70,3.30
2018,Por 1.000 nacidos vivos,ES70,5.14
2010,Por 1.000 nacidos vivos,ES,3.87
2011,Por 1.000 nacidos vivos,ES,3.81
2012,Por 1.000 nacidos vivos,ES,3.72
2013,Por 1.000 nacidos vivos,ES,3.37
2014,Por 1.000 nacidos vivos,ES,3.41
2015,Por 1.000 nacidos vivos,ES,3.16
2016,Por 1.000 nacidos vivos,ES,3.27
2017,Por 1.000 nacidos vivos,ES,3.26
2018,Por 1.000 nacidos vivos,ES,3.29
2019,Por 1.000 nacidos vivos,ES,3.27
2019,Por 1.000 nacidos vivos,ES70,3.18
