Year,Units,general.territorio,Serie,DIM_DES.TECNOLOGIA_ACCESO,Value
2021,UNIDAD_MEDIDA.PER_100_POP,ES,SERIE.SERIE_B,TECNOLOGIA_ACCESO._L_ACCESS_TECH_DSL,2.67
2022,UNIDAD_MEDIDA.PER_100_POP,ES,SERIE.SERIE_B,TECNOLOGIA_ACCESO._L_ACCESS_TECH_DSL,1.77
2010,UNIDAD_MEDIDA.PER_100_POP,ES,SERIE.SERIE_C,TECNOLOGIA_ACCESO._L_ACCESS_TECH_HFC,4.42
2011,UNIDAD_MEDIDA.PER_100_POP,ES,SERIE.SERIE_C,TECNOLOGIA_ACCESO._L_ACCESS_TECH_HFC,4.61
2012,UNIDAD_MEDIDA.PER_100_POP,ES,SERIE.SERIE_C,TECNOLOGIA_ACCESO._L_ACCESS_TECH_HFC,4.62
2013,UNIDAD_MEDIDA.PER_100_POP,ES,SERIE.SERIE_C,TECNOLOGIA_ACCESO._L_ACCESS_TECH_HFC,4.58
2014,UNIDAD_MEDIDA.PER_100_POP,ES,SERIE.SERIE_C,TECNOLOGIA_ACCESO._L_ACCESS_TECH_HFC,4.89
2015,UNIDAD_MEDIDA.PER_100_POP,ES,SERIE.SERIE_C,TECNOLOGIA_ACCESO._L_ACCESS_TECH_HFC,5.48
2016,UNIDAD_MEDIDA.PER_100_POP,ES,SERIE.SERIE_C,TECNOLOGIA_ACCESO._L_ACCESS_TECH_HFC,5.75
2017,UNIDAD_MEDIDA.PER_100_POP,ES,SERIE.SERIE_C,TECNOLOGIA_ACCESO._L_ACCESS_TECH_HFC,5.77
2018,UNIDAD_MEDIDA.PER_100_POP,ES,SERIE.SERIE_C,TECNOLOGIA_ACCESO._L_ACCESS_TECH_HFC,5.21
2019,UNIDAD_MEDIDA.PER_100_POP,ES,SERIE.SERIE_C,TECNOLOGIA_ACCESO._L_ACCESS_TECH_HFC,4.88
2020,UNIDAD_MEDIDA.PER_100_POP,ES,SERIE.SERIE_C,TECNOLOGIA_ACCESO._L_ACCESS_TECH_HFC,4.62
2021,UNIDAD_MEDIDA.PER_100_POP,ES,SERIE.SERIE_C,TECNOLOGIA_ACCESO._L_ACCESS_TECH_HFC,4.08
2022,UNIDAD_MEDIDA.PER_100_POP,ES,SERIE.SERIE_C,TECNOLOGIA_ACCESO._L_ACCESS_TECH_HFC,3.63
2010,UNIDAD_MEDIDA.PER_100_POP,ES,SERIE.SERIE_D,TECNOLOGIA_ACCESO._L_ACCESS_TECH_FTTH,0.13
2011,UNIDAD_MEDIDA.PER_100_POP,ES,SERIE.SERIE_D,TECNOLOGIA_ACCESO._L_ACCESS_TECH_FTTH,0.38
2012,UNIDAD_MEDIDA.PER_100_POP,ES,SERIE.SERIE_D,TECNOLOGIA_ACCESO._L_ACCESS_TECH_FTTH,0.72
2013,UNIDAD_MEDIDA.PER_100_POP,ES,SERIE.SERIE_D,TECNOLOGIA_ACCESO._L_ACCESS_TECH_FTTH,1.34
2014,UNIDAD_MEDIDA.PER_100_POP,ES,SERIE.SERIE_D,TECNOLOGIA_ACCESO._L_ACCESS_TECH_FTTH,3.42
2015,UNIDAD_MEDIDA.PER_100_POP,ES,SERIE.SERIE_D,TECNOLOGIA_ACCESO._L_ACCESS_TECH_FTTH,6.81
2016,UNIDAD_MEDIDA.PER_100_POP,ES,SERIE.SERIE_D,TECNOLOGIA_ACCESO._L_ACCESS_TECH_FTTH,10.64
2017,UNIDAD_MEDIDA.PER_100_POP,ES,SERIE.SERIE_D,TECNOLOGIA_ACCESO._L_ACCESS_TECH_FTTH,14.42
