Year,Units,general.territorio,Value
2015,UNIDAD_MEDIDA.PER_100000,ES,93.41
2015,UNIDAD_MEDIDA.PER_100000,ES70,97.33
2016,UNIDAD_MEDIDA.PER_100000,ES,89.85
2016,UNIDAD_MEDIDA.PER_100000,ES70,89.72
2017,UNIDAD_MEDIDA.PER_100000,ES,87.01
2017,UNIDAD_MEDIDA.PER_100000,ES70,83.99
2018,UNIDAD_MEDIDA.PER_100000,ES,86.48
2018,UNIDAD_MEDIDA.PER_100000,ES70,84.16
2019,UNIDAD_MEDIDA.PER_100000,ES,89.26
2019,UNIDAD_MEDIDA.PER_100000,ES70,83.4
2020,UNIDAD_MEDIDA.PER_100000,ES,63.96
2020,UNIDAD_MEDIDA.PER_100000,ES70,63.83
2021,UNIDAD_MEDIDA.PER_100000,ES,80.06
2021,UNIDAD_MEDIDA.PER_100000,ES70,74.88
2022,UNIDAD_MEDIDA.PER_100000,ES,85.21
2022,UNIDAD_MEDIDA.PER_100000,ES70,69.08
