Year,Units,general.territorio,Value
2011,UNIDAD_MEDIDA.PT,ES,3.70
2012,UNIDAD_MEDIDA.PT,ES,3.60
2013,UNIDAD_MEDIDA.PT,ES,3.82
2014,UNIDAD_MEDIDA.PT,ES,3.95
2015,UNIDAD_MEDIDA.PT,ES,3.89
2016,UNIDAD_MEDIDA.PT,ES,4.00
2017,UNIDAD_MEDIDA.PT,ES,4.06
2018,UNIDAD_MEDIDA.PT,ES,3.99
2019,UNIDAD_MEDIDA.PT,ES,3.96
2020,UNIDAD_MEDIDA.PT,ES,3.75
2021,UNIDAD_MEDIDA.PT,ES,3.84
2022,UNIDAD_MEDIDA.PT,ES,3.70
2023,UNIDAD_MEDIDA.PT,ES,3.90
2010,UNIDAD_MEDIDA.PT,ES70,5.41
2011,UNIDAD_MEDIDA.PT,ES70,2.56
2012,UNIDAD_MEDIDA.PT,ES70,2.61
2013,UNIDAD_MEDIDA.PT,ES70,2.50
2014,UNIDAD_MEDIDA.PT,ES70,2.96
2015,UNIDAD_MEDIDA.PT,ES70,3.93
2016,UNIDAD_MEDIDA.PT,ES70,2.94
2017,UNIDAD_MEDIDA.PT,ES70,3.18
2018,UNIDAD_MEDIDA.PT,ES70,3.66
2019,UNIDAD_MEDIDA.PT,ES70,4.51
2020,UNIDAD_MEDIDA.PT,ES70,2.70
2021,UNIDAD_MEDIDA.PT,ES70,3.34
2022,UNIDAD_MEDIDA.PT,ES70,3.29
2023,UNIDAD_MEDIDA.PT,ES70,3.78
