Year,Units,general.territorio,Value
2015,UNIDAD_MEDIDA.LITRES_PURE_ALCOHOL,ES,10.26
2016,UNIDAD_MEDIDA.LITRES_PURE_ALCOHOL,ES,10.70
2017,UNIDAD_MEDIDA.LITRES_PURE_ALCOHOL,ES,10.73
2018,UNIDAD_MEDIDA.LITRES_PURE_ALCOHOL,ES,10.22
2019,UNIDAD_MEDIDA.LITRES_PURE_ALCOHOL,ES,10.51
2020,UNIDAD_MEDIDA.LITRES_PURE_ALCOHOL,ES,8.53
2021,UNIDAD_MEDIDA.LITRES_PURE_ALCOHOL,ES,10.30
2015,UNIDAD_MEDIDA.LITRES_PURE_ALCOHOL,ES70,7.15
2016,UNIDAD_MEDIDA.LITRES_PURE_ALCOHOL,ES70,7.45
2017,UNIDAD_MEDIDA.LITRES_PURE_ALCOHOL,ES70,8.29
2018,UNIDAD_MEDIDA.LITRES_PURE_ALCOHOL,ES70,8.31
2019,UNIDAD_MEDIDA.LITRES_PURE_ALCOHOL,ES70,8.79
2020,UNIDAD_MEDIDA.LITRES_PURE_ALCOHOL,ES70,6.77
2021,UNIDAD_MEDIDA.LITRES_PURE_ALCOHOL,ES70,8.76
