Year,Units,general.territorio,Serie,SERIE_TEMPORAL.Encabezado,Value
2012,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_A,SERIE_TEMPORAL._L_ES_010A02_01,20.43
2013,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_A,SERIE_TEMPORAL._L_ES_010A02_01,23.29
2014,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_A,SERIE_TEMPORAL._L_ES_010A02_01,23.36
2015,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_A,SERIE_TEMPORAL._L_ES_010A02_01,23.53
2016,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_A,SERIE_TEMPORAL._L_ES_010A02_01,24.46
2017,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_A,SERIE_TEMPORAL._L_ES_010A02_01,24.3
2018,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_A,SERIE_TEMPORAL._L_ES_010A02_01,23.83
2019,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_A,SERIE_TEMPORAL._L_ES_010A02_01,23.64
2020,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_A,SERIE_TEMPORAL._L_ES_010A02_01,23.01
2012,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_B,SERIE_TEMPORAL._L_ES_010A02_02,30.98
2013,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_B,SERIE_TEMPORAL._L_ES_010A02_02,35.35
2014,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_B,SERIE_TEMPORAL._L_ES_010A02_02,35.36
2015,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_B,SERIE_TEMPORAL._L_ES_010A02_02,35.71
2016,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_B,SERIE_TEMPORAL._L_ES_010A02_02,36.97
2017,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_B,SERIE_TEMPORAL._L_ES_010A02_02,36.71
2018,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_B,SERIE_TEMPORAL._L_ES_010A02_02,36.46
2019,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_B,SERIE_TEMPORAL._L_ES_010A02_02,36.43
2020,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_B,SERIE_TEMPORAL._L_ES_010A02_02,38.39
2012,UNIDAD_MEDIDA.PT,ES70,SERIE.SERIE_A,SERIE_TEMPORAL._L_ES_010A02_01,20.44
2013,UNIDAD_MEDIDA.PT,ES70,SERIE.SERIE_A,SERIE_TEMPORAL._L_ES_010A02_01,21.96
2014,UNIDAD_MEDIDA.PT,ES70,SERIE.SERIE_A,SERIE_TEMPORAL._L_ES_010A02_01,22.16
2015,UNIDAD_MEDIDA.PT,ES70,SERIE.SERIE_A,SERIE_TEMPORAL._L_ES_010A02_01,21.42
2016,UNIDAD_MEDIDA.PT,ES70,SERIE.SERIE_A,SERIE_TEMPORAL._L_ES_010A02_01,21.59
2017,UNIDAD_MEDIDA.PT,ES70,SERIE.SERIE_A,SERIE_TEMPORAL._L_ES_010A02_01,21.52
2018,UNIDAD_MEDIDA.PT,ES70,SERIE.SERIE_A,SERIE_TEMPORAL._L_ES_010A02_01,21.07
2019,UNIDAD_MEDIDA.PT,ES70,SERIE.SERIE_A,SERIE_TEMPORAL._L_ES_010A02_01,20.87
2020,UNIDAD_MEDIDA.PT,ES70,SERIE.SERIE_A,SERIE_TEMPORAL._L_ES_010A02_01,21.64
2012,UNIDAD_MEDIDA.PT,ES70,SERIE.SERIE_B,SERIE_TEMPORAL._L_ES_010A02_02,32.4
2013,UNIDAD_MEDIDA.PT,ES70,SERIE.SERIE_B,SERIE_TEMPORAL._L_ES_010A02_02,34.73
2014,UNIDAD_MEDIDA.PT,ES70,SERIE.SERIE_B,SERIE_TEMPORAL._L_ES_010A02_02,35.11
2015,UNIDAD_MEDIDA.PT,ES70,SERIE.SERIE_B,SERIE_TEMPORAL._L_ES_010A02_02,35.29
2016,UNIDAD_MEDIDA.PT,ES70,SERIE.SERIE_B,SERIE_TEMPORAL._L_ES_010A02_02,35.47
2017,UNIDAD_MEDIDA.PT,ES70,SERIE.SERIE_B,SERIE_TEMPORAL._L_ES_010A02_02,35.25
2018,UNIDAD_MEDIDA.PT,ES70,SERIE.SERIE_B,SERIE_TEMPORAL._L_ES_010A02_02,35.22
2019,UNIDAD_MEDIDA.PT,ES70,SERIE.SERIE_B,SERIE_TEMPORAL._L_ES_010A02_02,35.57
2020,UNIDAD_MEDIDA.PT,ES70,SERIE.SERIE_B,SERIE_TEMPORAL._L_ES_010A02_02,38.24
