Year,Units,general.territorio,Value
2015,UNIDAD_MEDIDA.LITRES_PURE_ALCOHOL,ES,10.26
2016,UNIDAD_MEDIDA.LITRES_PURE_ALCOHOL,ES,10.70
2017,UNIDAD_MEDIDA.LITRES_PURE_ALCOHOL,ES,10.72
2018,UNIDAD_MEDIDA.LITRES_PURE_ALCOHOL,ES,10.22
2019,UNIDAD_MEDIDA.LITRES_PURE_ALCOHOL,ES,10.50
2020,UNIDAD_MEDIDA.LITRES_PURE_ALCOHOL,ES,8.52
2021,UNIDAD_MEDIDA.LITRES_PURE_ALCOHOL,ES,10.27
2022,UNIDAD_MEDIDA.LITRES_PURE_ALCOHOL,ES,11.52
2015,UNIDAD_MEDIDA.LITRES_PURE_ALCOHOL,ES70,7.25
2016,UNIDAD_MEDIDA.LITRES_PURE_ALCOHOL,ES70,7.58
2017,UNIDAD_MEDIDA.LITRES_PURE_ALCOHOL,ES70,8.46
2018,UNIDAD_MEDIDA.LITRES_PURE_ALCOHOL,ES70,8.52
2019,UNIDAD_MEDIDA.LITRES_PURE_ALCOHOL,ES70,9.04
2020,UNIDAD_MEDIDA.LITRES_PURE_ALCOHOL,ES70,6.98
2021,UNIDAD_MEDIDA.LITRES_PURE_ALCOHOL,ES70,9.04
2022,UNIDAD_MEDIDA.LITRES_PURE_ALCOHOL,ES70,9.91
