Year,Units,general.territorio,Serie,SERIE_TEMPORAL.Encabezado,Value
2012,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_D,SERIE_TEMPORAL.SE_ACC_HNDWSH,100.00
2013,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_D,SERIE_TEMPORAL.SE_ACC_HNDWSH,100.00
2014,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_D,SERIE_TEMPORAL.SE_ACC_HNDWSH,100.00
2015,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_D,SERIE_TEMPORAL.SE_ACC_HNDWSH,100.00
2016,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_D,SERIE_TEMPORAL.SE_ACC_HNDWSH,100.00
2017,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_D,SERIE_TEMPORAL.SE_ACC_HNDWSH,100.00
2018,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_D,SERIE_TEMPORAL.SE_ACC_HNDWSH,100.00
2019,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_D,SERIE_TEMPORAL.SE_ACC_HNDWSH,100.00
2020,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_D,SERIE_TEMPORAL.SE_ACC_HNDWSH,100.00
2021,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_D,SERIE_TEMPORAL.SE_ACC_HNDWSH,100.00
2022,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_D,SERIE_TEMPORAL.SE_ACC_HNDWSH,100.00
2023,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_D,SERIE_TEMPORAL.SE_ACC_HNDWSH,100.00
2011,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_E,SERIE_TEMPORAL.SE_ACS_INTNT,80.60
2012,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_E,SERIE_TEMPORAL.SE_ACS_INTNT,86.70
2013,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_E,SERIE_TEMPORAL.SE_ACS_INTNT,89.80
2014,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_E,SERIE_TEMPORAL.SE_ACS_INTNT,91.50
2015,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_E,SERIE_TEMPORAL.SE_ACS_INTNT,92.70
2017,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_E,SERIE_TEMPORAL.SE_ACS_INTNT,94.60
2019,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_E,SERIE_TEMPORAL.SE_ACS_INTNT,96.80
2021,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_E,SERIE_TEMPORAL.SE_ACS_INTNT,97.40
2010,UNIDAD_MEDIDA.NUMBER,ES,SERIE.SERIE_F,SERIE_TEMPORAL._L_ES_040A01_0C,4.30
2011,UNIDAD_MEDIDA.NUMBER,ES,SERIE.SERIE_F,SERIE_TEMPORAL._L_ES_040A01_0C,3.50
2012,UNIDAD_MEDIDA.NUMBER,ES,SERIE.SERIE_F,SERIE_TEMPORAL._L_ES_040A01_0C,3.20
2013,UNIDAD_MEDIDA.NUMBER,ES,SERIE.SERIE_F,SERIE_TEMPORAL._L_ES_040A01_0C,3.10
2014,UNIDAD_MEDIDA.NUMBER,ES,SERIE.SERIE_F,SERIE_TEMPORAL._L_ES_040A01_0C,3.00
2015,UNIDAD_MEDIDA.NUMBER,ES,SERIE.SERIE_F,SERIE_TEMPORAL._L_ES_040A01_0C,3.00
2017,UNIDAD_MEDIDA.NUMBER,ES,SERIE.SERIE_F,SERIE_TEMPORAL._L_ES_040A01_0C,3.00
2019,UNIDAD_MEDIDA.NUMBER,ES,SERIE.SERIE_F,SERIE_TEMPORAL._L_ES_040A01_0C,2.90
2021,UNIDAD_MEDIDA.NUMBER,ES,SERIE.SERIE_F,SERIE_TEMPORAL._L_ES_040A01_0C,2.50
2010,UNIDAD_MEDIDA.PT,ES70,SERIE.SERIE_A,SERIE_TEMPORAL.SE_ACS_ELECT,100.00
