Year,Units,general.territorio,Serie,DIM_DES.NIVEL_GOBIERNO,Value
2014,UNIDAD_MEDIDA.EUR,ES70,SERIE.SERIE_B,NIVEL_GOBIERNO._L_ES_LG_AUTONOMOUS,2.53
2015,UNIDAD_MEDIDA.EUR,ES70,SERIE.SERIE_B,NIVEL_GOBIERNO._L_ES_LG_AUTONOMOUS,2.55
2016,UNIDAD_MEDIDA.EUR,ES70,SERIE.SERIE_B,NIVEL_GOBIERNO._L_ES_LG_AUTONOMOUS,2.66
2017,UNIDAD_MEDIDA.EUR,ES70,SERIE.SERIE_B,NIVEL_GOBIERNO._L_ES_LG_AUTONOMOUS,4.62
2018,UNIDAD_MEDIDA.EUR,ES70,SERIE.SERIE_B,NIVEL_GOBIERNO._L_ES_LG_AUTONOMOUS,8.87
2019,UNIDAD_MEDIDA.EUR,ES70,SERIE.SERIE_B,NIVEL_GOBIERNO._L_ES_LG_AUTONOMOUS,6.69
2020,UNIDAD_MEDIDA.EUR,ES70,SERIE.SERIE_B,NIVEL_GOBIERNO._L_ES_LG_AUTONOMOUS,5.16
2021,UNIDAD_MEDIDA.EUR,ES70,SERIE.SERIE_B,NIVEL_GOBIERNO._L_ES_LG_AUTONOMOUS,5.06
2015,UNIDAD_MEDIDA.EUR,ES70,SERIE.SERIE_C,NIVEL_GOBIERNO._L_ES_LG_LOCAL,9.98
2016,UNIDAD_MEDIDA.EUR,ES70,SERIE.SERIE_C,NIVEL_GOBIERNO._L_ES_LG_LOCAL,10.72
2017,UNIDAD_MEDIDA.EUR,ES70,SERIE.SERIE_C,NIVEL_GOBIERNO._L_ES_LG_LOCAL,12.16
2018,UNIDAD_MEDIDA.EUR,ES70,SERIE.SERIE_C,NIVEL_GOBIERNO._L_ES_LG_LOCAL,11.53
2019,UNIDAD_MEDIDA.EUR,ES70,SERIE.SERIE_C,NIVEL_GOBIERNO._L_ES_LG_LOCAL,10.05
2020,UNIDAD_MEDIDA.EUR,ES70,SERIE.SERIE_C,NIVEL_GOBIERNO._L_ES_LG_LOCAL,9.32
2021,UNIDAD_MEDIDA.EUR,ES70,SERIE.SERIE_C,NIVEL_GOBIERNO._L_ES_LG_LOCAL,10.61
