Year,Units,general.territorio,Serie,SERIE_TEMPORAL.Encabezado,DIM_DES.ACTIVIDAD,Value
2018,UNIDAD_MEDIDA.KG,ES,SERIE.SERIE_C,SERIE_TEMPORAL._L_ES_020401_S2,ACTIVIDAD._L_ACTIVITY_01,18.63
2019,UNIDAD_MEDIDA.KG,ES,SERIE.SERIE_C,SERIE_TEMPORAL._L_ES_020401_S2,ACTIVIDAD._L_ACTIVITY_01,18.39
2020,UNIDAD_MEDIDA.KG,ES,SERIE.SERIE_C,SERIE_TEMPORAL._L_ES_020401_S2,ACTIVIDAD._L_ACTIVITY_01,18.93
2021,UNIDAD_MEDIDA.KG,ES,SERIE.SERIE_C,SERIE_TEMPORAL._L_ES_020401_S2,ACTIVIDAD._L_ACTIVITY_01,18.41
2022,UNIDAD_MEDIDA.KG,ES,SERIE.SERIE_C,SERIE_TEMPORAL._L_ES_020401_S2,ACTIVIDAD._L_ACTIVITY_01,16.85
2010,UNIDAD_MEDIDA.KT,ES,SERIE.SERIE_D,SERIE_TEMPORAL._L_ES_020401_S1,ACTIVIDAD._L_ACTIVITY_02,236.78
2011,UNIDAD_MEDIDA.KT,ES,SERIE.SERIE_D,SERIE_TEMPORAL._L_ES_020401_S1,ACTIVIDAD._L_ACTIVITY_02,227.46
2012,UNIDAD_MEDIDA.KT,ES,SERIE.SERIE_D,SERIE_TEMPORAL._L_ES_020401_S1,ACTIVIDAD._L_ACTIVITY_02,225.53
2013,UNIDAD_MEDIDA.KT,ES,SERIE.SERIE_D,SERIE_TEMPORAL._L_ES_020401_S1,ACTIVIDAD._L_ACTIVITY_02,230.75
2014,UNIDAD_MEDIDA.KT,ES,SERIE.SERIE_D,SERIE_TEMPORAL._L_ES_020401_S1,ACTIVIDAD._L_ACTIVITY_02,248.27
2015,UNIDAD_MEDIDA.KT,ES,SERIE.SERIE_D,SERIE_TEMPORAL._L_ES_020401_S1,ACTIVIDAD._L_ACTIVITY_02,247.58
2016,UNIDAD_MEDIDA.KT,ES,SERIE.SERIE_D,SERIE_TEMPORAL._L_ES_020401_S1,ACTIVIDAD._L_ACTIVITY_02,246.15
2017,UNIDAD_MEDIDA.KT,ES,SERIE.SERIE_D,SERIE_TEMPORAL._L_ES_020401_S1,ACTIVIDAD._L_ACTIVITY_02,258.85
2018,UNIDAD_MEDIDA.KT,ES,SERIE.SERIE_D,SERIE_TEMPORAL._L_ES_020401_S1,ACTIVIDAD._L_ACTIVITY_02,250.06
2019,UNIDAD_MEDIDA.KT,ES,SERIE.SERIE_D,SERIE_TEMPORAL._L_ES_020401_S1,ACTIVIDAD._L_ACTIVITY_02,243.83
2020,UNIDAD_MEDIDA.KT,ES,SERIE.SERIE_D,SERIE_TEMPORAL._L_ES_020401_S1,ACTIVIDAD._L_ACTIVITY_02,254.27
2021,UNIDAD_MEDIDA.KT,ES,SERIE.SERIE_D,SERIE_TEMPORAL._L_ES_020401_S1,ACTIVIDAD._L_ACTIVITY_02,241.4
2022,UNIDAD_MEDIDA.KT,ES,SERIE.SERIE_D,SERIE_TEMPORAL._L_ES_020401_S1,ACTIVIDAD._L_ACTIVITY_02,222.6
2010,UNIDAD_MEDIDA.KG,ES,SERIE.SERIE_E,SERIE_TEMPORAL._L_ES_020401_S2,ACTIVIDAD._L_ACTIVITY_02,13.76
2011,UNIDAD_MEDIDA.KG,ES,SERIE.SERIE_E,SERIE_TEMPORAL._L_ES_020401_S2,ACTIVIDAD._L_ACTIVITY_02,13.31
2012,UNIDAD_MEDIDA.KG,ES,SERIE.SERIE_E,SERIE_TEMPORAL._L_ES_020401_S2,ACTIVIDAD._L_ACTIVITY_02,13.21
2013,UNIDAD_MEDIDA.KG,ES,SERIE.SERIE_E,SERIE_TEMPORAL._L_ES_020401_S2,ACTIVIDAD._L_ACTIVITY_02,13.59
2014,UNIDAD_MEDIDA.KG,ES,SERIE.SERIE_E,SERIE_TEMPORAL._L_ES_020401_S2,ACTIVIDAD._L_ACTIVITY_02,14.62
