Year,Units,general.territorio,Serie,SERIE_TEMPORAL.Encabezado,DIM_DES.ACTIVIDAD,Value
2010,UNIDAD_MEDIDA.KT,ES70,SERIE.SERIE_F,SERIE_TEMPORAL._L_ES_020401_S1,ACTIVIDAD._L_ACTIVITY_03,1.85
2011,UNIDAD_MEDIDA.KT,ES70,SERIE.SERIE_F,SERIE_TEMPORAL._L_ES_020401_S1,ACTIVIDAD._L_ACTIVITY_03,1.78
2012,UNIDAD_MEDIDA.KT,ES70,SERIE.SERIE_F,SERIE_TEMPORAL._L_ES_020401_S1,ACTIVIDAD._L_ACTIVITY_03,1.75
2013,UNIDAD_MEDIDA.KT,ES70,SERIE.SERIE_F,SERIE_TEMPORAL._L_ES_020401_S1,ACTIVIDAD._L_ACTIVITY_03,1.51
2014,UNIDAD_MEDIDA.KT,ES70,SERIE.SERIE_F,SERIE_TEMPORAL._L_ES_020401_S1,ACTIVIDAD._L_ACTIVITY_03,1.68
2015,UNIDAD_MEDIDA.KT,ES70,SERIE.SERIE_F,SERIE_TEMPORAL._L_ES_020401_S1,ACTIVIDAD._L_ACTIVITY_03,1.47
2016,UNIDAD_MEDIDA.KT,ES70,SERIE.SERIE_F,SERIE_TEMPORAL._L_ES_020401_S1,ACTIVIDAD._L_ACTIVITY_03,1.59
2017,UNIDAD_MEDIDA.KT,ES70,SERIE.SERIE_F,SERIE_TEMPORAL._L_ES_020401_S1,ACTIVIDAD._L_ACTIVITY_03,1.52
2018,UNIDAD_MEDIDA.KT,ES70,SERIE.SERIE_F,SERIE_TEMPORAL._L_ES_020401_S1,ACTIVIDAD._L_ACTIVITY_03,1.46
2019,UNIDAD_MEDIDA.KT,ES70,SERIE.SERIE_F,SERIE_TEMPORAL._L_ES_020401_S1,ACTIVIDAD._L_ACTIVITY_03,1.39
2020,UNIDAD_MEDIDA.KT,ES70,SERIE.SERIE_F,SERIE_TEMPORAL._L_ES_020401_S1,ACTIVIDAD._L_ACTIVITY_03,1.38
2021,UNIDAD_MEDIDA.KT,ES70,SERIE.SERIE_F,SERIE_TEMPORAL._L_ES_020401_S1,ACTIVIDAD._L_ACTIVITY_03,1.43
2010,UNIDAD_MEDIDA.KG,ES70,SERIE.SERIE_G,SERIE_TEMPORAL._L_ES_020401_S2,ACTIVIDAD._L_ACTIVITY_03,120.56
2011,UNIDAD_MEDIDA.KG,ES70,SERIE.SERIE_G,SERIE_TEMPORAL._L_ES_020401_S2,ACTIVIDAD._L_ACTIVITY_03,13.56
2012,UNIDAD_MEDIDA.KG,ES70,SERIE.SERIE_G,SERIE_TEMPORAL._L_ES_020401_S2,ACTIVIDAD._L_ACTIVITY_03,13.33
2013,UNIDAD_MEDIDA.KG,ES70,SERIE.SERIE_G,SERIE_TEMPORAL._L_ES_020401_S2,ACTIVIDAD._L_ACTIVITY_03,11.50
2014,UNIDAD_MEDIDA.KG,ES70,SERIE.SERIE_G,SERIE_TEMPORAL._L_ES_020401_S2,ACTIVIDAD._L_ACTIVITY_03,12.80
2015,UNIDAD_MEDIDA.KG,ES70,SERIE.SERIE_G,SERIE_TEMPORAL._L_ES_020401_S2,ACTIVIDAD._L_ACTIVITY_03,11.18
2016,UNIDAD_MEDIDA.KG,ES70,SERIE.SERIE_G,SERIE_TEMPORAL._L_ES_020401_S2,ACTIVIDAD._L_ACTIVITY_03,12.14
2017,UNIDAD_MEDIDA.KG,ES70,SERIE.SERIE_G,SERIE_TEMPORAL._L_ES_020401_S2,ACTIVIDAD._L_ACTIVITY_03,10.80
2018,UNIDAD_MEDIDA.KG,ES70,SERIE.SERIE_G,SERIE_TEMPORAL._L_ES_020401_S2,ACTIVIDAD._L_ACTIVITY_03,9.20
2019,UNIDAD_MEDIDA.KG,ES70,SERIE.SERIE_G,SERIE_TEMPORAL._L_ES_020401_S2,ACTIVIDAD._L_ACTIVITY_03,8.76
2020,UNIDAD_MEDIDA.KG,ES70,SERIE.SERIE_G,SERIE_TEMPORAL._L_ES_020401_S2,ACTIVIDAD._L_ACTIVITY_03,8.68
2021,UNIDAD_MEDIDA.KG,ES70,SERIE.SERIE_G,SERIE_TEMPORAL._L_ES_020401_S2,ACTIVIDAD._L_ACTIVITY_03,9.00
2014,UNIDAD_MEDIDA.PT,ES70,SERIE.SERIE_H,SERIE_TEMPORAL.AG_LND_FOVH,,49.64
2015,UNIDAD_MEDIDA.PT,ES70,SERIE.SERIE_H,SERIE_TEMPORAL.AG_LND_FOVH,,64.71
2016,UNIDAD_MEDIDA.PT,ES70,SERIE.SERIE_H,SERIE_TEMPORAL.AG_LND_FOVH,,73.71
2017,UNIDAD_MEDIDA.PT,ES70,SERIE.SERIE_H,SERIE_TEMPORAL.AG_LND_FOVH,,84.29
2018,UNIDAD_MEDIDA.PT,ES70,SERIE.SERIE_H,SERIE_TEMPORAL.AG_LND_FOVH,,82.82
2019,UNIDAD_MEDIDA.PT,ES70,SERIE.SERIE_H,SERIE_TEMPORAL.AG_LND_FOVH,,62.85
2020,UNIDAD_MEDIDA.PT,ES70,SERIE.SERIE_H,SERIE_TEMPORAL.AG_LND_FOVH,,49.67
2021,UNIDAD_MEDIDA.PT,ES70,SERIE.SERIE_H,SERIE_TEMPORAL.AG_LND_FOVH,,66.31
2022,UNIDAD_MEDIDA.PT,ES70,SERIE.SERIE_H,SERIE_TEMPORAL.AG_LND_FOVH,,44.74
2016,UNIDAD_MEDIDA.PT,ES70,SERIE.SERIE_I,SERIE_TEMPORAL.AG_LND_NFI,,99.97
2017,UNIDAD_MEDIDA.PT,ES70,SERIE.SERIE_I,SERIE_TEMPORAL.AG_LND_NFI,,90.1
2018,UNIDAD_MEDIDA.PT,ES70,SERIE.SERIE_I,SERIE_TEMPORAL.AG_LND_NFI,,91.83
2019,UNIDAD_MEDIDA.PT,ES70,SERIE.SERIE_I,SERIE_TEMPORAL.AG_LND_NFI,,89.76
2020,UNIDAD_MEDIDA.PT,ES70,SERIE.SERIE_I,SERIE_TEMPORAL.AG_LND_NFI,,87.52
2021,UNIDAD_MEDIDA.PT,ES70,SERIE.SERIE_I,SERIE_TEMPORAL.AG_LND_NFI,,89.35
2022,UNIDAD_MEDIDA.PT,ES70,SERIE.SERIE_I,SERIE_TEMPORAL.AG_LND_NFI,,91.87
2022,UNIDAD_MEDIDA.IX,ES70,SERIE.SERIE_J,SERIE_TEMPORAL._L_ES_020401_09,,100
2023,UNIDAD_MEDIDA.IX,ES70,SERIE.SERIE_J,SERIE_TEMPORAL._L_ES_020401_09,,99.88
