Year,Units,general.territorio,Serie,SERIE_TEMPORAL.Encabezado,Value
2014,UNIDAD_MEDIDA.HA,ES,SERIE.SERIE_A,SERIE_TEMPORAL._L_ES_150201_01,4400309
2015,UNIDAD_MEDIDA.HA,ES,SERIE.SERIE_A,SERIE_TEMPORAL._L_ES_150201_01,4611684
2016,UNIDAD_MEDIDA.HA,ES,SERIE.SERIE_A,SERIE_TEMPORAL._L_ES_150201_01,4804161
2017,UNIDAD_MEDIDA.HA,ES,SERIE.SERIE_A,SERIE_TEMPORAL._L_ES_150201_01,5124970
2018,UNIDAD_MEDIDA.HA,ES,SERIE.SERIE_A,SERIE_TEMPORAL._L_ES_150201_01,5167697
2014,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_B,SERIE_TEMPORAL._L_ES_150201_02,15.86
2015,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_B,SERIE_TEMPORAL._L_ES_150201_02,16.58
2016,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_B,SERIE_TEMPORAL._L_ES_150201_02,17.28
2017,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_B,SERIE_TEMPORAL._L_ES_150201_02,18.33
2018,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_B,SERIE_TEMPORAL._L_ES_150201_02,18.48
2014,UNIDAD_MEDIDA.HA,ES70,SERIE.SERIE_A,SERIE_TEMPORAL._L_ES_150201_01,0
2015,UNIDAD_MEDIDA.HA,ES70,SERIE.SERIE_A,SERIE_TEMPORAL._L_ES_150201_01,0
2016,UNIDAD_MEDIDA.HA,ES70,SERIE.SERIE_A,SERIE_TEMPORAL._L_ES_150201_01,0
2017,UNIDAD_MEDIDA.HA,ES70,SERIE.SERIE_A,SERIE_TEMPORAL._L_ES_150201_01,0
2018,UNIDAD_MEDIDA.HA,ES70,SERIE.SERIE_A,SERIE_TEMPORAL._L_ES_150201_01,0
2014,UNIDAD_MEDIDA.PT,ES70,SERIE.SERIE_B,SERIE_TEMPORAL._L_ES_150201_02,0
2015,UNIDAD_MEDIDA.PT,ES70,SERIE.SERIE_B,SERIE_TEMPORAL._L_ES_150201_02,0
2016,UNIDAD_MEDIDA.PT,ES70,SERIE.SERIE_B,SERIE_TEMPORAL._L_ES_150201_02,0
2017,UNIDAD_MEDIDA.PT,ES70,SERIE.SERIE_B,SERIE_TEMPORAL._L_ES_150201_02,0
2018,UNIDAD_MEDIDA.PT,ES70,SERIE.SERIE_B,SERIE_TEMPORAL._L_ES_150201_02,0
