Year,Units,Territorio,Value
2010,Porcentaje,ES70,22.4
2011,Porcentaje,ES70,21.5
2012,Porcentaje,ES70,22.5
2013,Porcentaje,ES70,19.5
2014,Porcentaje,ES70,21.7
2015,Porcentaje,ES70,22.5
2016,Porcentaje,ES70,21.3
2017,Porcentaje,ES70,25.5
2018,Porcentaje,ES70,26.1
2010,Porcentaje,ES,13.8
2011,Porcentaje,ES,13.77
2012,Porcentaje,ES,14.36
2013,Porcentaje,ES,13.89
2014,Porcentaje,ES,15.9
2015,Porcentaje,ES,15.93
2016,Porcentaje,ES,15.48
2017,Porcentaje,ES,15.71
2018,Porcentaje,ES,14.63
2019,Porcentaje,ES,13.58
2019,Porcentaje,ES70,17.6
