Year,Units,Territorio,Value
2010,Por 100.000 habitantes,ES70,188.4
2011,Por 100.000 habitantes,ES70,190.41
2012,Por 100.000 habitantes,ES70,197.44
2013,Por 100.000 habitantes,ES70,196.02
2014,Por 100.000 habitantes,ES70,192.12
2015,Por 100.000 habitantes,ES70,194.15
2016,Por 100.000 habitantes,ES70,197.04
2017,Por 100.000 habitantes,ES70,196.85
2018,Por 100.000 habitantes,ES70,199.65
2010,Por 100.000 habitantes,ES,221.87
2011,Por 100.000 habitantes,ES,225.59
2012,Por 100.000 habitantes,ES,228.56
2013,Por 100.000 habitantes,ES,229.94
2014,Por 100.000 habitantes,ES,228.76
2015,Por 100.000 habitantes,ES,230.97
2016,Por 100.000 habitantes,ES,234.0
2017,Por 100.000 habitantes,ES,234.4
2018,Por 100.000 habitantes,ES,232.25
