Year,Units,Territorio,Value
2010,Por millón de habitantes,ES70,1374.0
2011,Por millón de habitantes,ES70,1270.0
2012,Por millón de habitantes,ES70,1299.0
2013,Por millón de habitantes,ES70,1200.0
2014,Por millón de habitantes,ES70,1163.0
2015,Por millón de habitantes,ES70,1022.0
2016,Por millón de habitantes,ES70,1069.0
2017,Por millón de habitantes,ES70,1103.0
2018,Por millón de habitantes,ES70,1169.0
2010,Por millón de habitantes,ES,2891.88
2011,Por millón de habitantes,ES,2786.59
2012,Por millón de habitantes,ES,2710.87
2013,Por millón de habitantes,ES,2644.69
2014,Por millón de habitantes,ES,2631.26
2015,Por millón de habitantes,ES,2638.15
2016,Por millón de habitantes,ES,2726.24
2017,Por millón de habitantes,ES,2862.78
2018,Por millón de habitantes,ES,2998.58
