Year,Units,Territorio,Value
2010,Porcentaje,ES70,92.7
2011,Porcentaje,ES70,91.2
2012,Porcentaje,ES70,92.9
2013,Porcentaje,ES70,92.5
2014,Porcentaje,ES70,95.3
2015,Porcentaje,ES70,95.4
2017,Porcentaje,ES70,94.4
2019,Porcentaje,ES70,97.2
2012,Porcentaje,ES,94.1
2013,Porcentaje,ES,94.35
2014,Porcentaje,ES,95.33
2015,Porcentaje,ES,95.52
2017,Porcentaje,ES,96.11
2019,Porcentaje,ES,97.12
