Year,Units,Territorio,Serie,Serie temporal,Tipo de tratamiento,Value
2010,Kg per cápita,ES70,Serie A,Residuos urbanos recogidos per cápita,,701.4
2011,Kg per cápita,ES70,Serie A,Residuos urbanos recogidos per cápita,,669.7
2012,Kg per cápita,ES70,Serie A,Residuos urbanos recogidos per cápita,,626.1
2013,Kg per cápita,ES70,Serie A,Residuos urbanos recogidos per cápita,,571.4
2014,Kg per cápita,ES70,Serie A,Residuos urbanos recogidos per cápita,,594.6
2015,Kg per cápita,ES70,Serie A,Residuos urbanos recogidos per cápita,,594.1
2016,Kg per cápita,ES70,Serie A,Residuos urbanos recogidos per cápita,,581.2
2017,Kg per cápita,ES70,Serie A,Residuos urbanos recogidos per cápita,,598.9
2014,Porcentaje,ES70,Serie B,Proporción de residuos urbanos en relación al total de residuos urbanos generados y tratados según tipo de tratamiento,Incinerados,0.0
2015,Porcentaje,ES70,Serie B,Proporción de residuos urbanos en relación al total de residuos urbanos generados y tratados según tipo de tratamiento,Incinerados,0.0
2016,Porcentaje,ES70,Serie B,Proporción de residuos urbanos en relación al total de residuos urbanos generados y tratados según tipo de tratamiento,Incinerados,0.0
2017,Porcentaje,ES70,Serie B,Proporción de residuos urbanos en relación al total de residuos urbanos generados y tratados según tipo de tratamiento,Incinerados,0.0
2014,Porcentaje,ES70,Serie C,Proporción de residuos urbanos en relación al total de residuos urbanos generados y tratados según tipo de tratamiento,Vertidos,85.39
2015,Porcentaje,ES70,Serie C,Proporción de residuos urbanos en relación al total de residuos urbanos generados y tratados según tipo de tratamiento,Vertidos,85.74
2016,Porcentaje,ES70,Serie C,Proporción de residuos urbanos en relación al total de residuos urbanos generados y tratados según tipo de tratamiento,Vertidos,79.94
2017,Porcentaje,ES70,Serie C,Proporción de residuos urbanos en relación al total de residuos urbanos generados y tratados según tipo de tratamiento,Vertidos,69.97
2014,Porcentaje,ES70,Serie D,Proporción de residuos urbanos en relación al total de residuos urbanos generados y tratados según tipo de tratamiento,Reciclados,14.61
2015,Porcentaje,ES70,Serie D,Proporción de residuos urbanos en relación al total de residuos urbanos generados y tratados según tipo de tratamiento,Reciclados,14.26
2016,Porcentaje,ES70,Serie D,Proporción de residuos urbanos en relación al total de residuos urbanos generados y tratados según tipo de tratamiento,Reciclados,20.06
2017,Porcentaje,ES70,Serie D,Proporción de residuos urbanos en relación al total de residuos urbanos generados y tratados según tipo de tratamiento,Reciclados,30.03
2010,Kg per cápita,ES,Serie A,Residuos urbanos recogidos per cápita,,523.6
2011,Kg per cápita,ES,Serie A,Residuos urbanos recogidos per cápita,,498.16
2012,Kg per cápita,ES,Serie A,Residuos urbanos recogidos per cápita,,478.89
2013,Kg per cápita,ES,Serie A,Residuos urbanos recogidos per cápita,,467.57
2014,Kg per cápita,ES,Serie A,Residuos urbanos recogidos per cápita,,459.12
2015,Kg per cápita,ES,Serie A,Residuos urbanos recogidos per cápita,,466.41
2016,Kg per cápita,ES,Serie A,Residuos urbanos recogidos per cápita,,471.01
2017,Kg per cápita,ES,Serie A,Residuos urbanos recogidos per cápita,,483.86
2014,Porcentaje,ES,Serie B,Proporción de residuos urbanos en relación al total de residuos urbanos generados y tratados según tipo de tratamiento,Incinerados,11.8
2015,Porcentaje,ES,Serie B,Proporción de residuos urbanos en relación al total de residuos urbanos generados y tratados según tipo de tratamiento,Incinerados,12.71
2016,Porcentaje,ES,Serie B,Proporción de residuos urbanos en relación al total de residuos urbanos generados y tratados según tipo de tratamiento,Incinerados,12.02
2017,Porcentaje,ES,Serie B,Proporción de residuos urbanos en relación al total de residuos urbanos generados y tratados según tipo de tratamiento,Incinerados,12.73
2014,Porcentaje,ES,Serie C,Proporción de residuos urbanos en relación al total de residuos urbanos generados y tratados según tipo de tratamiento,Vertidos,56.89
2015,Porcentaje,ES,Serie C,Proporción de residuos urbanos en relación al total de residuos urbanos generados y tratados según tipo de tratamiento,Vertidos,56.77
2016,Porcentaje,ES,Serie C,Proporción de residuos urbanos en relación al total de residuos urbanos generados y tratados según tipo de tratamiento,Vertidos,54.12
2017,Porcentaje,ES,Serie C,Proporción de residuos urbanos en relación al total de residuos urbanos generados y tratados según tipo de tratamiento,Vertidos,51.16
2014,Porcentaje,ES,Serie D,Proporción de residuos urbanos en relación al total de residuos urbanos generados y tratados según tipo de tratamiento,Reciclados,31.31
2015,Porcentaje,ES,Serie D,Proporción de residuos urbanos en relación al total de residuos urbanos generados y tratados según tipo de tratamiento,Reciclados,30.52
2016,Porcentaje,ES,Serie D,Proporción de residuos urbanos en relación al total de residuos urbanos generados y tratados según tipo de tratamiento,Reciclados,33.86
2017,Porcentaje,ES,Serie D,Proporción de residuos urbanos en relación al total de residuos urbanos generados y tratados según tipo de tratamiento,Reciclados,36.11
