Year,Units,Territorio,Value
2010,Porcentaje,ES70,3.67
2011,Porcentaje,ES70,3.62
2012,Porcentaje,ES70,3.45
2013,Porcentaje,ES70,3.29
2014,Porcentaje,ES70,3.21
2015,Porcentaje,ES70,3.17
2016,Porcentaje,ES70,3.13
2017,Porcentaje,ES70,3.24
2018,Porcentaje,ES70,3.21
2010,Porcentaje,ES,11.16
2011,Porcentaje,ES,10.9
2012,Porcentaje,ES,10.51
2013,Porcentaje,ES,10.18
2014,Porcentaje,ES,9.97
2015,Porcentaje,ES,9.91
2016,Porcentaje,ES,10.05
2017,Porcentaje,ES,10.01
2018,Porcentaje,ES,10.05
2019,Porcentaje,ES,10.01
